,ETF,Buy_Date,Sell_Date,Buy_Price,Sell_Price,Quantity,Profit
0,159928.XSHE,2020-03-02,2020-03-04 14:00:00,0.7558,0.7688,3300,42.90000000000004
1,512200.XSHG,2020-03-02,2020-03-06 10:30:00,0.879,0.892,2800,36.400000000000034
2,512660.XSHG,2020-03-02,2020-03-03 14:00:00,0.853,0.8690000000000001,2900,46.40000000000036
3,512880.XSHG,2020-03-02,2020-03-03 11:30:00,1.036,1.054,2400,43.20000000000004
4,512400.XSHG,2020-03-05,2020-03-09 10:30:00,0.7509999999999999,0.735,3400,-54.39999999999967
5,512800.XSHG,2020-03-05,2020-03-06 10:30:00,1.071,1.055,2300,-36.80000000000003
6,512660.XSHG,2020-03-10,2020-03-11 14:00:00,0.866,0.871,2900,14.500000000000012
7,515880.XSHG,2020-03-10,2020-03-11 14:00:00,1.332,1.31,1800,-39.60000000000004
8,159930.XSHE,2020-04-14,2020-04-16 11:30:00,0.586,0.58,4200,-25.200000000000024
9,512800.XSHG,2020-04-14,2020-04-16 11:30:00,0.9740000000000001,0.9640000000000001,2500,-25.00000000000002
10,512880.XSHG,2020-04-14,2020-04-15 15:00:00,0.9540000000000001,0.9440000000000001,2700,-27.000000000000025
11,515030.XSHG,2020-04-14,2020-04-15 11:30:00,0.805,0.8190000000000001,3200,44.80000000000004
12,512800.XSHG,2020-04-17,2020-04-24 10:30:00,0.9740000000000001,0.96,2500,-35.000000000000306
13,512200.XSHG,2020-04-22,2020-05-06 10:30:00,0.8059999999999999,0.818,3100,37.20000000000003
14,512400.XSHG,2020-04-22,2020-04-27 10:30:00,0.654,0.644,3800,-38.000000000000036
15,512480.XSHG,2020-04-28,2020-04-29 11:30:00,0.8605,0.85,2800,-29.400000000000183
16,512980.XSHG,2020-04-29,2020-05-11 14:00:00,0.8170000000000001,0.857,3000,119.99999999999977
17,512660.XSHG,2020-04-30,2020-05-07 14:00:00,0.815,0.83,3000,45.00000000000004
18,515030.XSHG,2020-04-30,2020-05-11 10:30:00,0.8440000000000001,0.86,2900,46.39999999999972
19,512400.XSHG,2020-05-15,2020-05-19 14:00:00,0.6659999999999999,0.6779999999999999,3800,45.60000000000004
20,512200.XSHG,2020-05-18,2020-05-21 15:00:00,0.816,0.804,3100,-37.19999999999969
21,512800.XSHG,2020-05-18,2020-05-22 15:00:00,0.9840000000000001,0.9740000000000001,2500,-25.00000000000002
22,512880.XSHG,2020-05-19,2020-05-21 15:00:00,0.941,0.9259999999999999,2700,-40.500000000000036
23,515880.XSHG,2020-05-19,2020-05-21 10:30:00,1.125,1.1059999999999999,2300,-43.700000000000294
24,159928.XSHE,2020-05-25,2020-05-28 11:30:00,0.8392,0.8258,2900,-38.85999999999991
25,512010.XSHG,2020-05-25,2020-05-28 10:30:00,0.543,0.5358,4600,-33.119999999999926
26,159996.XSHE,2020-05-26,2020-06-02 11:30:00,0.975,1.013,2600,98.7999999999998
27,512400.XSHG,2020-05-26,2020-05-27 14:00:00,0.6609999999999999,0.654,3900,-27.299999999999592
28,512400.XSHG,2020-05-28,2020-06-02 10:30:00,0.67,0.6829999999999999,3600,46.79999999999964
29,159928.XSHE,2020-05-29,2020-06-01 15:00:00,0.8425,0.865,2900,65.2499999999999
30,512010.XSHG,2020-05-29,2020-06-03 14:00:00,0.5395,0.5478,4700,39.00999999999988
31,159996.XSHE,2020-06-16,2020-06-22 14:00:00,1.013,1.033,2500,50.00000000000004
32,512400.XSHG,2020-06-16,2020-06-22 15:00:00,0.6940000000000001,0.7070000000000001,3600,46.80000000000004
33,512660.XSHG,2020-06-17,2020-06-18 10:30:00,0.823,0.809,3100,-43.39999999999969
34,159930.XSHE,2020-06-18,2020-06-23 11:30:00,0.5720000000000001,0.5660000000000001,4400,-26.400000000000023
35,512480.XSHG,2020-06-18,2020-06-22 14:00:00,0.954,1.0015,2700,128.25000000000026
36,513050.XSHG,2020-07-17,2020-07-23 10:30:00,1.899,1.97,1300,92.29999999999994
37,159930.XSHE,2020-07-20,2020-07-23 10:30:00,0.621,0.614,4200,-29.400000000000027
38,512480.XSHG,2020-07-20,2020-07-21 11:30:00,1.1615,1.1455,2200,-35.20000000000003
39,515880.XSHG,2020-07-20,2020-07-23 10:30:00,1.26,1.224,2100,-75.60000000000007
40,512480.XSHG,2020-07-22,2020-07-23 10:30:00,1.156,1.1285,2200,-60.49999999999969
41,513050.XSHG,2020-07-29,2020-08-07 11:30:00,1.947,1.946,1300,-1.3000000000001455
42,512170.XSHG,2020-08-10,2020-08-11 15:00:00,0.7367,0.7237,3400,-44.20000000000004
43,159928.XSHE,2020-08-14,2020-08-20 10:30:00,1.1102,1.119,2300,20.239999999999814
44,512880.XSHG,2020-08-14,2020-08-18 14:00:00,1.249,1.297,2000,95.99999999999964
45,515880.XSHG,2020-08-14,2020-08-18 10:30:00,1.268,1.291,2000,45.999999999999815
46,512400.XSHG,2020-08-17,2020-08-19 14:00:00,0.866,0.873,3000,21.000000000000018
47,513050.XSHG,2020-08-21,2020-08-28 10:30:00,1.992,2.133,1300,183.3
48,512660.XSHG,2020-08-24,2020-08-25 10:30:00,1.17,1.151,2200,-41.79999999999979
49,515880.XSHG,2020-08-24,2020-08-26 11:30:00,1.271,1.247,2000,-47.9999999999996
50,159930.XSHE,2020-08-28,2020-09-04 11:30:00,0.618,0.611,4200,-29.400000000000027
51,159996.XSHE,2020-08-28,2020-08-31 15:00:00,1.264,1.246,2000,-36.00000000000003
52,512800.XSHG,2020-08-28,2020-09-01 14:00:00,1.091,1.08,2400,-26.399999999999757
53,512980.XSHG,2020-09-08,2020-09-09 10:30:00,1.017,0.986,2500,-77.49999999999979
54,515030.XSHG,2020-09-29,2020-10-15 14:00:00,1.089,1.217,2300,294.40000000000026
55,512880.XSHG,2020-10-09,2020-10-13 10:30:00,1.228,1.251,2100,48.29999999999981
56,512880.XSHG,2020-10-22,2020-10-23 15:00:00,1.235,1.215,2100,-42.000000000000036
57,512170.XSHG,2020-10-26,2020-10-28 15:00:00,0.719,0.7463,3600,98.27999999999997
58,512010.XSHG,2020-10-27,2020-10-29 15:00:00,0.6888,0.7088,3800,76.00000000000007
59,512400.XSHG,2020-10-27,2020-10-30 15:00:00,0.8029999999999999,0.787,3300,-52.79999999999968
60,159928.XSHE,2020-10-28,2020-10-30 10:30:00,1.1433,1.142,2300,-2.9900000000001814
61,159928.XSHE,2020-11-03,2020-11-10 14:00:00,1.1442,1.1785,2300,78.88999999999999
62,512010.XSHG,2020-11-03,2020-11-06 10:30:00,0.6978,0.682,3800,-60.039999999999715
63,512400.XSHG,2020-11-03,2020-11-10 10:30:00,0.8390000000000001,0.871,3200,102.39999999999974
64,512800.XSHG,2020-11-03,2020-11-10 14:00:00,1.096,1.1159999999999999,2500,49.99999999999949
65,512170.XSHG,2020-11-09,2020-11-10 10:30:00,0.7533,0.7373,3400,-54.40000000000005
66,515880.XSHG,2020-11-19,2020-11-27 10:30:00,1.126,1.114,2400,-28.799999999999493
67,515030.XSHG,2020-11-20,2020-11-24 14:00:00,1.356,1.401,2000,89.99999999999986
68,512880.XSHG,2020-11-26,2020-11-30 15:00:00,1.188,1.222,2300,78.20000000000007
69,159928.XSHE,2020-11-27,2020-11-30 10:30:00,1.1668,1.1508,2300,-36.80000000000003
70,512480.XSHG,2020-11-27,2020-12-03 11:30:00,1.076,1.1075,2500,78.74999999999966
71,515880.XSHG,2021-01-08,2021-01-15 11:30:00,1.05,1.07,2600,52.00000000000004
72,515030.XSHG,2021-01-15,2021-01-19 14:00:00,1.714,1.6869999999999998,1600,-43.200000000000216
73,512010.XSHG,2021-01-20,2021-01-25 11:30:00,0.7775,0.8305,3500,185.50000000000017
74,512400.XSHG,2021-01-20,2021-01-21 15:00:00,1.075,1.1159999999999999,2500,102.49999999999982
75,512660.XSHG,2021-01-20,2021-01-25 14:00:00,1.321,1.3459999999999999,2100,52.499999999999815
76,515030.XSHG,2021-01-20,2021-01-21 15:00:00,1.755,1.79,1600,56.00000000000023
77,159928.XSHE,2021-01-25,2021-01-26 15:00:00,1.3808,1.363,2000,-35.60000000000008
78,159930.XSHE,2021-01-27,2021-01-28 10:30:00,0.664,0.6559999999999999,4200,-33.6000000000005
79,512980.XSHG,2021-01-27,2021-01-28 15:00:00,0.897,0.887,3200,-32.00000000000003
80,512010.XSHG,2021-02-01,2021-02-03 14:00:00,0.792,0.8182,3500,91.7
81,512980.XSHG,2021-02-01,2021-02-03 15:00:00,0.882,0.871,3200,-35.20000000000003
82,515790.XSHG,2021-02-09,2021-02-18 10:30:00,1.248,1.265,2200,37.39999999999979
83,159825.XSHE,2021-03-01,2021-03-02 11:30:00,1.149,1.133,2400,-38.400000000000034
84,512800.XSHG,2021-03-03,2021-03-04 14:00:00,1.288,1.271,2200,-37.400000000000276
85,159930.XSHE,2021-03-11,2021-03-12 14:00:00,0.696,0.7040000000000001,4000,32.00000000000047
86,512200.XSHG,2021-03-12,2021-03-17 15:00:00,0.847,0.863,3300,52.80000000000005
87,512800.XSHG,2021-03-22,2021-03-24 10:30:00,1.264,1.237,2200,-59.39999999999981
88,512880.XSHG,2021-04-08,2021-04-09 15:00:00,1.048,1.036,2700,-32.40000000000003
89,159852.XSHE,2021-04-13,2021-04-20 11:30:00,0.965,1.02,2900,159.50000000000014
90,159928.XSHE,2021-04-13,2021-04-15 11:30:00,1.2162,1.1992,2300,-39.09999999999978
91,512010.XSHG,2021-04-13,2021-04-15 10:30:00,0.7123,0.7042,4000,-32.399999999999984
92,512170.XSHG,2021-04-13,2021-04-20 15:00:00,0.754,0.783,3800,110.2000000000001
93,159928.XSHE,2021-04-16,2021-04-26 11:30:00,1.221,1.277,2300,128.7999999999996
94,512200.XSHG,2021-04-16,2021-04-20 15:00:00,0.857,0.848,3200,-28.800000000000026
95,159930.XSHE,2021-04-28,2021-04-30 10:30:00,0.705,0.693,4100,-49.200000000000045
96,159869.XSHE,2021-04-29,2021-04-30 10:30:00,0.943,0.927,3000,-47.99999999999971
97,159930.XSHE,2021-05-06,2021-05-11 10:30:00,0.72,0.737,4000,68.00000000000006
98,512800.XSHG,2021-05-06,2021-05-17 14:00:00,1.239,1.262,2300,52.89999999999979
99,159996.XSHE,2021-05-11,2021-05-13 10:30:00,1.39,1.365,2100,-52.499999999999815
100,159825.XSHE,2021-05-12,2021-05-13 10:30:00,1.018,1.004,2800,-39.20000000000003
101,159870.XSHE,2021-05-12,2021-05-13 10:30:00,0.885,0.868,3300,-56.10000000000005
102,512480.XSHG,2021-05-14,2021-05-26 11:30:00,0.983,1.014,2900,89.90000000000008
103,515030.XSHG,2021-05-14,2021-05-20 15:00:00,1.581,1.72,1800,250.20000000000002
104,515790.XSHG,2021-05-14,2021-05-20 10:30:00,1.074,1.1059999999999999,2700,86.39999999999948
105,159825.XSHE,2021-05-17,2021-05-21 10:30:00,1.025,1.013,2800,-33.60000000000003
106,159930.XSHE,2021-05-25,2021-06-03 15:00:00,0.73,0.759,4100,118.9000000000001
107,512400.XSHG,2021-05-25,2021-06-02 11:30:00,1.141,1.187,2600,119.60000000000011
108,512800.XSHG,2021-05-25,2021-06-01 10:30:00,1.286,1.271,2300,-34.500000000000284
109,512980.XSHG,2021-06-03,2021-06-09 14:00:00,0.815,0.83,3700,55.50000000000005
110,512010.XSHG,2021-06-10,2021-06-15 10:30:00,0.824,0.8078,3600,-58.31999999999997
111,512400.XSHG,2021-06-10,2021-06-11 10:30:00,1.159,1.143,2600,-41.60000000000004
