,ETF,Buy_Date,Sell_Date,Buy_Price,Sell_Price,Quantity,Profit
0,159930.XSHE,2019-03-15,2019-04-08 11:30:00,0.738,0.8109999999999999,3300,240.89999999999984
1,512800.XSHG,2019-03-15,2019-04-08 14:00:00,1.033,1.09,2400,136.80000000000038
2,512010.XSHG,2019-03-27,2019-04-11 10:30:00,0.4142,0.4365,6100,136.02999999999992
3,512200.XSHG,2019-03-29,2019-04-04 11:30:00,0.94,0.9940000000000001,2700,145.80000000000044
4,512010.XSHG,2019-04-16,2019-04-26 10:30:00,0.4312,0.4152,6100,-97.60000000000008
5,512400.XSHG,2019-04-16,2019-04-22 15:00:00,0.733,0.71,3600,-82.80000000000007
6,512660.XSHG,2019-04-16,2019-04-23 15:00:00,0.836,0.805,3200,-99.19999999999973
7,512880.XSHG,2019-04-16,2019-04-25 15:00:00,1.082,1.036,2500,-115.0000000000001
8,159928.XSHE,2019-04-29,2019-05-06 11:30:00,0.686,0.662,3700,-88.80000000000008
9,513050.XSHG,2019-04-30,2019-05-09 10:30:00,1.31,1.27,1900,-76.00000000000007
10,159928.XSHE,2019-05-29,2019-06-06 14:00:00,0.6818,0.659,3700,-84.35999999999974
11,512800.XSHG,2019-06-05,2019-06-21 14:00:00,1.0270000000000001,1.087,2400,143.9999999999996
12,512200.XSHG,2019-06-19,2019-07-04 11:30:00,0.8540000000000001,0.902,2900,139.1999999999998
13,512400.XSHG,2019-07-05,2019-07-08 10:30:00,0.665,0.642,3800,-87.40000000000008
14,512880.XSHG,2019-07-15,2019-08-01 11:30:00,0.986,0.955,2500,-77.50000000000007
15,513050.XSHG,2019-07-16,2019-08-05 10:30:00,1.215,1.171,2100,-92.40000000000008
16,512660.XSHG,2019-07-19,2019-08-06 10:30:00,0.758,0.727,3400,-105.40000000000009
17,512400.XSHG,2019-08-02,2019-09-06 10:30:00,0.644,0.684,3800,152.00000000000014
18,159928.XSHE,2019-09-18,2019-12-12 14:00:00,0.751,0.7272,3300,-78.54000000000015
19,512400.XSHG,2019-09-19,2019-09-26 11:30:00,0.6809999999999999,0.6559999999999999,3700,-92.50000000000009
20,512660.XSHG,2019-09-19,2019-09-25 15:00:00,0.825,0.795,3000,-89.99999999999974
21,512800.XSHG,2019-09-25,2019-10-18 11:30:00,1.054,1.117,2300,144.89999999999986
22,512170.XSHG,2019-09-27,2019-10-16 14:00:00,0.3997,0.4227,6200,142.60000000000014
23,512200.XSHG,2019-10-21,2019-11-11 10:30:00,0.8690000000000001,0.8390000000000001,2900,-87.00000000000007
24,512010.XSHG,2019-10-25,2019-11-15 15:00:00,0.4625,0.4882,5600,143.92000000000002
25,512170.XSHG,2019-10-25,2019-11-05 10:30:00,0.4107,0.439,6300,178.28999999999994
26,512480.XSHG,2019-11-13,2019-11-25 11:30:00,0.616,0.594,4200,-92.40000000000008
27,515880.XSHG,2019-11-14,2019-12-18 14:00:00,1.009,1.099,2600,234.0000000000002
28,513050.XSHG,2019-11-25,2019-12-17 15:00:00,1.29,1.389,2000,197.99999999999994
29,512480.XSHG,2019-11-27,2019-12-04 11:30:00,0.6225,0.658,4200,149.0999999999999
30,512480.XSHG,2019-12-24,2020-01-06 15:00:00,0.7105,0.753,3800,161.49999999999994
31,512660.XSHG,2019-12-24,2020-01-08 14:00:00,0.745,0.797,3600,187.20000000000016
32,515880.XSHG,2019-12-24,2020-01-14 10:30:00,1.055,1.147,2500,230.0000000000002
33,512010.XSHG,2019-12-26,2020-01-22 10:30:00,0.4638,0.4915,6000,166.20000000000002
34,512480.XSHG,2020-01-09,2020-01-14 10:30:00,0.7505,0.8165,3800,250.8000000000002
35,512800.XSHG,2020-01-09,2020-01-23 10:30:00,1.138,1.0979999999999999,2500,-100.00000000000009
36,512880.XSHG,2020-01-22,2020-01-23 14:00:00,1.035,0.991,2800,-123.1999999999998
37,513050.XSHG,2020-01-22,2020-01-23 14:00:00,1.4980000000000002,1.439,2000,-118.00000000000033
38,512170.XSHG,2020-02-04,2020-02-07 11:30:00,0.4563,0.4773,6200,130.2000000000001
39,512010.XSHG,2020-02-05,2020-03-06 14:00:00,0.4885,0.516,5900,162.25000000000014
40,513050.XSHG,2020-02-05,2020-02-25 11:30:00,1.514,1.465,1900,-93.09999999999987
41,159928.XSHE,2020-03-02,2020-03-06 10:30:00,0.7558,0.8052,3800,187.72
42,512200.XSHG,2020-03-02,2020-03-13 10:30:00,0.879,0.835,3200,-140.80000000000013
43,512660.XSHG,2020-03-02,2020-03-09 15:00:00,0.853,0.8270000000000001,3400,-88.39999999999971
44,512660.XSHG,2020-03-10,2020-03-13 10:30:00,0.866,0.833,3400,-112.2000000000001
45,515880.XSHG,2020-03-10,2020-03-12 10:30:00,1.332,1.288,2200,-96.80000000000008
46,159930.XSHE,2020-04-14,2020-04-28 10:30:00,0.586,0.557,4800,-139.1999999999996
47,512800.XSHG,2020-04-14,2020-07-07 10:30:00,0.9740000000000001,1.1520000000000001,2900,516.2000000000002
48,512880.XSHG,2020-04-14,2020-04-24 10:30:00,0.9540000000000001,0.925,3000,-87.00000000000007
49,515030.XSHG,2020-04-14,2020-05-11 10:30:00,0.805,0.86,3600,197.99999999999977
50,512480.XSHG,2020-04-28,2020-05-12 11:30:00,0.8605,0.933,3100,224.75000000000003
51,512200.XSHG,2020-04-29,2020-05-22 14:00:00,0.8190000000000001,0.7929999999999999,3400,-88.40000000000046
52,512400.XSHG,2020-05-15,2020-06-22 14:00:00,0.6659999999999999,0.708,4500,189.00000000000017
53,512880.XSHG,2020-05-19,2020-05-22 14:00:00,0.941,0.91,3200,-99.19999999999973
54,159928.XSHE,2020-05-25,2020-06-19 15:00:00,0.8392,0.8922,3300,174.90000000000015
55,512010.XSHG,2020-05-25,2020-06-15 14:00:00,0.543,0.5728,5200,154.95999999999967
56,159996.XSHE,2020-06-16,2020-07-07 15:00:00,1.013,1.113,2900,290.0000000000003
57,512660.XSHG,2020-06-19,2020-07-10 10:30:00,0.816,1.015,3700,736.2999999999998
58,513050.XSHG,2020-07-17,2020-08-06 14:00:00,1.899,2.011,1700,190.40000000000018
59,159930.XSHE,2020-07-20,2020-09-11 10:30:00,0.621,0.602,5500,-104.5000000000001
60,512480.XSHG,2020-07-20,2020-07-24 11:30:00,1.1615,1.1175,2900,-127.60000000000011
61,515880.XSHG,2020-07-20,2020-07-24 11:30:00,1.26,1.213,2700,-126.8999999999998
62,512170.XSHG,2020-08-10,2020-08-12 10:30:00,0.7367,0.697,4500,-178.65000000000032
63,159928.XSHE,2020-08-14,2020-08-31 15:00:00,1.1102,1.2197,2900,317.5499999999998
64,512880.XSHG,2020-08-14,2020-09-07 15:00:00,1.249,1.208,2600,-106.60000000000038
65,515880.XSHG,2020-08-14,2020-09-08 10:30:00,1.268,1.222,2600,-119.60000000000011
66,512980.XSHG,2020-09-08,2020-09-09 10:30:00,1.017,0.986,3200,-99.19999999999973
67,515030.XSHG,2020-09-29,2020-10-15 14:00:00,1.089,1.217,3000,384.00000000000034
68,512880.XSHG,2020-10-09,2020-10-26 10:30:00,1.228,1.19,2600,-98.80000000000008
69,512170.XSHG,2020-10-26,2020-10-30 10:30:00,0.719,0.7507,4600,145.82000000000028
70,512010.XSHG,2020-10-27,2020-11-17 11:30:00,0.6888,0.6655,4900,-114.16999999999994
71,512400.XSHG,2020-10-27,2020-11-05 15:00:00,0.8029999999999999,0.851,4200,201.6000000000002
72,159928.XSHE,2020-10-28,2020-12-07 15:00:00,1.1433,1.21,2900,193.42999999999995
73,512800.XSHG,2020-11-03,2020-11-24 10:30:00,1.096,1.158,3200,198.39999999999947
74,512170.XSHG,2020-11-09,2020-11-11 10:30:00,0.7533,0.7213,4700,-150.3999999999996
75,515880.XSHG,2020-11-19,2020-12-09 14:00:00,1.126,1.091,2900,-101.49999999999977
76,515030.XSHG,2020-11-20,2020-12-09 11:30:00,1.356,1.432,2500,189.9999999999996
77,512880.XSHG,2020-11-26,2020-12-02 14:00:00,1.188,1.258,3100,217.0000000000002
78,515880.XSHG,2021-01-08,2021-01-19 11:30:00,1.05,1.11,3300,198.00000000000017
79,515030.XSHG,2021-01-15,2021-01-25 14:00:00,1.714,1.854,2000,280.0000000000002
80,512010.XSHG,2021-01-20,2021-01-25 11:30:00,0.7775,0.8305,4700,249.10000000000022
81,512400.XSHG,2021-01-20,2021-01-25 14:00:00,1.075,1.1420000000000001,3400,227.80000000000058
82,512660.XSHG,2021-01-20,2021-01-26 10:30:00,1.321,1.263,2700,-156.60000000000014
83,159928.XSHE,2021-01-25,2021-01-27 10:30:00,1.3808,1.338,2800,-119.83999999999986
84,159930.XSHE,2021-01-27,2021-01-29 11:30:00,0.664,0.644,5600,-112.0000000000001
85,512980.XSHG,2021-01-27,2021-02-04 10:30:00,0.897,0.8440000000000001,4100,-217.29999999999973
86,512010.XSHG,2021-02-01,2021-02-18 10:30:00,0.792,0.858,4600,303.59999999999974
87,515790.XSHG,2021-02-09,2021-02-22 15:00:00,1.248,1.203,2900,-130.4999999999998
88,159825.XSHE,2021-03-01,2021-03-04 10:30:00,1.149,1.099,3200,-160.00000000000014
89,512800.XSHG,2021-03-03,2021-03-08 15:00:00,1.288,1.246,2800,-117.60000000000011
90,159930.XSHE,2021-03-11,2021-03-24 10:30:00,0.696,0.6629999999999999,5100,-168.30000000000015
91,512200.XSHG,2021-03-12,2021-05-10 10:30:00,0.847,0.813,4200,-142.80000000000013
92,512800.XSHG,2021-03-22,2021-04-12 10:30:00,1.264,1.226,2900,-110.2000000000001
93,512880.XSHG,2021-04-08,2021-04-12 15:00:00,1.048,1.015,3300,-108.90000000000046
94,159852.XSHE,2021-04-13,2021-04-20 11:30:00,0.965,1.02,3600,198.00000000000017
95,159928.XSHE,2021-04-13,2021-04-30 10:30:00,1.2162,1.2878,2800,200.4800000000003
96,512010.XSHG,2021-04-13,2021-04-26 14:00:00,0.7123,0.76,5100,243.2699999999998
97,159930.XSHE,2021-04-28,2021-05-11 10:30:00,0.705,0.737,5300,169.60000000000014
98,159869.XSHE,2021-04-29,2021-05-11 10:30:00,0.943,0.902,4000,-163.99999999999972
99,512800.XSHG,2021-05-06,2021-07-08 11:30:00,1.239,1.2,2900,-113.10000000000042
100,159996.XSHE,2021-05-11,2021-07-23 10:30:00,1.39,1.335,2600,-142.99999999999983
101,159825.XSHE,2021-05-12,2021-06-07 10:30:00,1.018,0.9840000000000001,3600,-122.39999999999971
102,159870.XSHE,2021-05-12,2021-05-28 14:00:00,0.885,0.9309999999999999,4100,188.5999999999997
103,159930.XSHE,2021-06-01,2021-06-28 10:30:00,0.752,0.786,5100,173.40000000000015
104,512010.XSHG,2021-06-10,2021-06-16 10:30:00,0.824,0.7882,4300,-153.93999999999974
105,159852.XSHE,2021-06-17,2021-07-28 11:30:00,1.084,1.043,3100,-127.10000000000046
106,159870.XSHE,2021-07-05,2021-07-16 14:00:00,0.977,1.074,4100,397.70000000000033
107,515880.XSHG,2021-07-12,2021-07-15 10:30:00,1.045,1.013,3400,-108.8000000000001
108,515880.XSHG,2021-07-19,2021-07-23 11:30:00,1.035,1.003,3800,-121.60000000000011
109,512480.XSHG,2021-07-20,2021-07-26 11:30:00,1.318,1.41,2900,266.7999999999996
110,159870.XSHE,2021-07-29,2021-08-30 14:00:00,1.056,1.107,3400,173.39999999999978
111,512660.XSHG,2021-07-29,2021-08-06 10:30:00,1.208,1.324,3000,348.0000000000003
112,515030.XSHG,2021-07-29,2021-08-05 10:30:00,2.378,2.53,1500,227.99999999999955
113,159930.XSHE,2021-07-30,2021-08-02 10:30:00,0.772,0.747,5100,-127.50000000000011
114,159930.XSHE,2021-08-04,2021-08-17 10:30:00,0.764,0.82,4900,274.3999999999997
115,512400.XSHG,2021-08-19,2021-08-24 11:30:00,1.4240000000000002,1.503,2700,213.2999999999993
116,516110.XSHG,2021-08-19,2021-09-17 10:30:00,1.26,1.221,3100,-120.89999999999976
117,515790.XSHG,2021-08-20,2021-08-26 15:00:00,1.609,1.754,2500,362.50000000000006
118,512200.XSHG,2021-08-31,2021-09-14 10:30:00,0.765,0.811,5300,243.8000000000002
119,512880.XSHG,2021-08-31,2021-09-03 14:00:00,1.13,1.191,3600,219.6000000000006
120,512800.XSHG,2021-09-01,2021-09-22 11:30:00,1.156,1.12,3600,-129.5999999999993
121,159870.XSHE,2021-09-06,2021-09-10 10:30:00,1.1,1.16,3900,233.99999999999935
122,515790.XSHG,2021-09-15,2021-09-16 11:30:00,1.767,1.691,2400,-182.39999999999964
123,159928.XSHE,2021-09-17,2021-09-28 10:30:00,1.049,1.105,3900,218.4000000000002
124,515030.XSHG,2021-09-17,2021-09-27 11:30:00,2.481,2.364,1600,-187.2
125,512200.XSHG,2021-09-22,2021-10-20 10:30:00,0.793,0.767,5200,-135.20000000000013
126,512980.XSHG,2021-09-23,2021-09-29 10:30:00,0.72,0.694,5900,-153.40000000000015
127,159930.XSHE,2021-09-28,2021-09-29 10:30:00,1.069,1.033,3700,-133.20000000000013
128,159825.XSHE,2021-09-30,2021-11-02 14:00:00,0.949,1.0,4200,214.2000000000002
129,159852.XSHE,2021-09-30,2021-11-16 11:30:00,1.031,1.092,3900,237.90000000000063
130,159996.XSHE,2021-10-21,2021-12-13 11:30:00,1.215,1.283,3300,224.39999999999947
131,159928.XSHE,2021-10-28,2021-12-09 15:00:00,1.154,1.241,3500,304.5000000000007
132,515790.XSHG,2021-11-08,2021-11-16 15:00:00,1.791,1.734,2300,-131.09999999999985
133,159825.XSHE,2021-11-22,2021-11-26 11:30:00,1.005,0.974,4100,-127.09999999999965
134,512170.XSHG,2021-11-24,2021-12-06 11:30:00,0.711,0.689,5900,-129.80000000000013
135,159930.XSHE,2021-12-01,2021-12-17 10:30:00,0.875,0.933,4500,261.0000000000002
136,159870.XSHE,2021-12-08,2021-12-20 11:30:00,1.024,0.993,4000,-124.00000000000011
137,515030.XSHG,2021-12-10,2021-12-16 10:30:00,2.602,2.517,1600,-135.99999999999994
138,512800.XSHG,2021-12-15,2022-02-11 15:00:00,1.149,1.228,3800,300.1999999999998
139,159766.XSHE,2021-12-21,2022-01-05 14:00:00,0.954,1.026,4200,302.40000000000026
140,159996.XSHE,2021-12-21,2022-01-07 15:00:00,1.244,1.313,3300,227.69999999999985
