,ETF,Buy Date,Buy Price,Sell Date,Profit/Loss
0,512400.XSHG,2019-01-14,0.578,2019-01-29 10:30:00,-154.79999999999836
1,512200.XSHG,2019-01-14,0.7190000000000001,2019-02-15 15:00:00,282.89999999999964
2,512800.XSHG,2019-02-18,0.977,2019-02-26 11:30:00,296.40000000000055
3,513050.XSHG,2019-02-18,1.208,2019-03-07 10:30:00,278.8000000000002
4,159930.XSHE,2019-03-04,0.7509999999999999,2019-03-14 15:00:00,-165.59999999999945
5,512660.XSHG,2019-03-18,0.797,2019-03-25 15:00:00,290.3999999999987
6,512800.XSHG,2019-03-11,1.025,2019-04-09 10:30:00,290.7000000000007
7,512400.XSHG,2019-04-15,0.71,2019-04-25 15:00:00,-207.90000000000055
8,512010.XSHG,2019-04-08,0.4295,2019-04-26 10:30:00,-185.89999999999964
9,512200.XSHG,2019-04-29,0.898,2019-05-06 10:30:00,-171.09999999999945
10,159928.XSHE,2019-04-29,0.686,2019-05-06 11:30:00,-189.60000000000036
11,513050.XSHG,2019-05-13,1.259,2019-05-20 10:30:00,-204.9999999999991
12,512800.XSHG,2019-05-13,1.016,2019-06-20 14:00:00,387.60000000000036
13,159930.XSHE,2019-05-27,0.721,2019-07-03 11:30:00,207.0
14,512400.XSHG,2019-07-01,0.6729999999999999,2019-07-08 10:30:00,-254.1999999999989
15,513050.XSHG,2019-07-08,1.213,2019-08-05 10:30:00,-180.60000000000036
16,512010.XSHG,2019-07-22,0.4045,2019-08-06 10:30:00,-208.0
17,512660.XSHG,2019-08-12,0.738,2019-08-28 11:30:00,380.8000000000002
18,512200.XSHG,2019-08-12,0.8009999999999999,2019-09-05 15:00:00,270.90000000000146
19,159928.XSHE,2019-09-09,0.7618,2019-09-17 14:00:00,-172.20000000000073
20,512980.XSHG,2019-09-23,0.7809999999999999,2019-09-26 15:00:00,-184.79999999999927
21,512200.XSHG,2019-09-30,0.8290000000000001,2019-10-14 14:00:00,281.9999999999991
22,512800.XSHG,2019-09-02,1.034,2019-10-18 14:00:00,384.7999999999993
23,512010.XSHG,2019-10-21,0.455,2019-11-05 10:30:00,320.64999999999964
24,515880.XSHG,2019-10-21,0.991,2019-12-11 11:30:00,330.39999999999964
25,159930.XSHE,2019-11-11,0.6709999999999999,2020-01-07 10:30:00,565.5
26,159928.XSHE,2019-12-16,0.7325,2020-01-10 10:30:00,308.0
27,159930.XSHE,2020-01-13,0.7190000000000001,2020-01-21 14:00:00,-191.40000000000055
28,512400.XSHG,2020-01-13,0.758,2020-01-23 14:00:00,-340.2999999999993
29,512170.XSHG,2020-02-03,0.4307,2020-02-06 15:00:00,752.5999999999995
30,513050.XSHG,2020-02-03,1.416,2020-02-18 10:30:00,525.0
31,513050.XSHG,2020-02-24,1.48,2020-02-28 11:30:00,-225.0
32,512200.XSHG,2020-02-24,0.85,2020-03-06 10:30:00,327.60000000000036
33,513050.XSHG,2020-03-02,1.445,2020-03-09 10:30:00,-202.39999999999964
34,515880.XSHG,2020-03-09,1.23,2020-03-11 15:00:00,364.8000000000002
35,159930.XSHE,2020-03-16,0.602,2020-03-18 15:00:00,-237.30000000000018
36,512010.XSHG,2020-03-16,0.4588,2020-03-19 11:30:00,-233.84000000000015
37,512010.XSHG,2020-03-23,0.4512,2020-03-30 10:30:00,482.85000000000036
38,512200.XSHG,2020-04-13,0.802,2020-06-29 10:30:00,356.6999999999989
39,159930.XSHE,2020-03-23,0.562,2020-07-07 15:00:00,889.1999999999998
40,512170.XSHG,2020-07-06,0.6663,2020-07-10 11:30:00,584.9699999999993
41,512800.XSHG,2020-07-13,1.101,2020-07-15 11:30:00,-238.0
42,159930.XSHE,2020-07-13,0.6409999999999999,2020-07-15 15:00:00,-251.9999999999991
43,513050.XSHG,2020-07-20,1.893,2020-07-22 11:30:00,432.90000000000055
44,512980.XSHG,2020-07-20,1.022,2020-07-24 11:30:00,-296.0
45,512200.XSHG,2020-07-27,0.927,2020-08-04 15:00:00,445.4999999999991
46,512800.XSHG,2020-07-27,1.03,2020-08-20 10:30:00,365.0000000000009
47,512200.XSHG,2020-08-24,0.987,2020-09-04 11:30:00,-239.9999999999991
48,512800.XSHG,2020-09-07,1.061,2020-10-19 11:30:00,395.9999999999991
49,512400.XSHG,2020-10-26,0.794,2020-11-10 10:30:00,777.6999999999998
50,159930.XSHE,2020-08-10,0.609,2020-11-11 11:30:00,458.5
51,512800.XSHG,2020-11-16,1.099,2020-11-30 14:00:00,764.3999999999996
52,512880.XSHG,2020-11-16,1.179,2020-11-30 14:00:00,444.0
53,515880.XSHG,2020-12-07,1.111,2020-12-10 15:00:00,-282.1999999999989
54,512980.XSHG,2020-12-07,0.916,2020-12-11 10:30:00,-383.8000000000011
55,515880.XSHG,2020-12-14,1.061,2020-12-17 10:30:00,-314.5
56,512800.XSHG,2020-12-14,1.145,2020-12-22 15:00:00,-308.0
57,512200.XSHG,2020-12-21,0.8740000000000001,2020-12-24 14:00:00,-277.2000000000007
58,512980.XSHG,2020-12-28,0.8170000000000001,2021-01-05 11:30:00,488.7999999999993
59,512880.XSHG,2021-01-11,1.202,2021-01-13 10:30:00,480.0
60,512200.XSHG,2020-12-28,0.841,2021-01-28 10:30:00,-319.9999999999991
61,512880.XSHG,2021-02-01,1.151,2021-02-04 11:30:00,-340.8000000000002
62,159928.XSHE,2021-01-18,1.3203,2021-02-05 15:00:00,514.75
63,515790.XSHG,2021-02-08,1.203,2021-02-18 10:30:00,452.60000000000036
64,159996.XSHE,2021-02-08,1.4280000000000002,2021-02-22 14:00:00,-272.7999999999993
65,515030.XSHG,2021-02-22,1.68,2021-02-24 10:30:00,-330.0
66,159852.XSHE,2021-03-01,1.0,2021-03-08 15:00:00,-281.60000000000036
67,512880.XSHG,2021-03-01,1.09,2021-03-09 15:00:00,-360.0
68,159852.XSHE,2021-03-15,0.9259999999999999,2021-04-01 14:00:00,500.5000000000018
69,512800.XSHG,2021-04-12,1.228,2021-04-15 11:30:00,-270.10000000000036
70,512800.XSHG,2021-04-19,1.219,2021-05-27 10:30:00,461.4999999999982
71,159928.XSHE,2021-05-31,1.3382,2021-06-08 14:00:00,-293.7600000000002
72,512980.XSHG,2021-03-15,0.802,2021-07-05 10:30:00,-265.0
