ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
510800.SH,20180115,1.01,1.01,1.028,1.009,1.018,0.008,0.7921,1315898.0,133655.921
510800.SH,20180116,1.018,1.017,1.024,1.013,1.023,0.005,0.4912,158596.0,16142.756
510800.SH,20180117,1.023,1.024,1.05,1.021,1.028,0.005,0.4888,85122.0,8805.358
510800.SH,20180118,1.028,1.03,1.045,1.03,1.04,0.012,1.1673,68462.0,7099.453
510800.SH,20180119,1.04,1.042,1.052,1.036,1.04,0.0,0.0,75885.0,7931.472
510800.SH,20180122,1.04,1.038,1.051,1.031,1.044,0.004,0.3846,56136.0,5864.604
510800.SH,20180123,1.044,1.044,1.062,1.044,1.059,0.015,1.4368,66827.0,7060.526
510800.SH,20180124,1.059,1.06,1.073,1.053,1.065,0.006,0.5666,102412.0,10881.078
510800.SH,20180125,1.065,1.065,1.065,1.044,1.053,-0.012,-1.1268,49861.0,5250.79
510800.SH,20180126,1.053,1.048,1.066,1.048,1.061,0.008,0.7597,46516.0,4925.098
510800.SH,20180129,1.061,1.061,1.069,1.04,1.043,-0.018,-1.6965,97315.0,10253.102
510800.SH,20180130,1.043,1.042,1.051,1.028,1.031,-0.012,-1.1505,33950.0,3515.796
510800.SH,20180131,1.031,1.026,1.044,1.023,1.043,0.012,1.1639,32929.0,3406.221
510800.SH,20180201,1.043,1.042,1.05,1.037,1.05,0.007,0.6711,33946.0,3546.519
510800.SH,20180202,1.05,1.05,1.051,1.032,1.047,-0.003,-0.2857,33350.0,3469.172
510800.SH,20180205,1.047,1.035,1.063,1.033,1.061,0.014,1.3372,62688.0,6589.638
510800.SH,20180206,1.061,1.051,1.058,1.033,1.04,-0.021,-1.9793,53004.0,5519.489
510800.SH,20180207,1.04,1.05,1.057,1.011,1.012,-0.028,-2.6923,74876.0,7720.511
510800.SH,20180208,1.012,1.012,1.012,0.98,0.99,-0.022,-2.1739,72083.0,7166.496
510800.SH,20180209,0.99,0.98,0.98,0.9,0.94,-0.05,-5.0505,81860.0,7661.565
510800.SH,20180212,0.94,0.94,0.949,0.931,0.947,0.007,0.7447,36244.0,3414.658
510800.SH,20180213,0.947,0.955,0.968,0.948,0.957,0.01,1.056,24186.0,2319.518
510800.SH,20180214,0.957,0.967,0.967,0.951,0.963,0.006,0.627,16798.0,1607.065
510800.SH,20180222,0.963,0.972,0.985,0.968,0.983,0.02,2.0768,36964.0,3612.972
510800.SH,20180223,0.983,0.983,0.995,0.972,0.99,0.007,0.7121,26950.0,2658.501
510800.SH,20180226,0.99,0.998,1.0,0.985,0.993,0.003,0.303,40822.0,4049.261
510800.SH,20180227,0.993,0.993,0.995,0.975,0.978,-0.015,-1.5106,25248.0,2490.722
510800.SH,20180228,0.978,0.974,0.974,0.955,0.97,-0.008,-0.818,19979.0,1927.53
510800.SH,20180301,0.97,0.965,0.977,0.955,0.967,-0.003,-0.3093,17770.0,1718.217
510800.SH,20180302,0.967,0.961,0.97,0.951,0.964,-0.003,-0.3102,23726.0,2280.235
510800.SH,20180305,0.964,0.973,0.973,0.958,0.961,-0.003,-0.3112,14654.0,1411.628
510800.SH,20180306,0.961,0.96,0.969,0.955,0.969,0.008,0.8325,23085.0,2222.917
510800.SH,20180307,0.969,0.973,0.983,0.966,0.967,-0.002,-0.2064,30300.0,2951.782
510800.SH,20180308,0.967,0.967,0.976,0.963,0.971,0.004,0.4137,18721.0,1814.583
510800.SH,20180309,0.971,0.978,0.978,0.971,0.975,0.004,0.4119,16619.0,1617.398
510800.SH,20180312,0.975,0.976,0.981,0.971,0.978,0.003,0.3077,12919.0,1263.594
510800.SH,20180313,0.978,0.972,0.981,0.969,0.969,-0.009,-0.9202,14174.0,1378.101
510800.SH,20180314,0.969,0.964,0.97,0.961,0.965,-0.004,-0.4128,7740.0,746.453
510800.SH,20180315,0.965,0.964,0.972,0.964,0.969,0.004,0.4145,12476.0,1208.855
510800.SH,20180316,0.969,0.969,0.98,0.966,0.966,-0.003,-0.3096,16823.0,1640.068
510800.SH,20180319,0.966,0.966,0.974,0.96,0.972,0.006,0.6211,11620.0,1123.088
510800.SH,20180320,0.972,0.968,0.977,0.967,0.977,0.005,0.5144,14348.0,1395.53
510800.SH,20180321,0.977,0.98,0.984,0.966,0.972,-0.005,-0.5118,19653.0,1920.941
510800.SH,20180322,0.972,0.973,0.976,0.959,0.965,-0.007,-0.7202,13623.0,1313.605
510800.SH,20180323,0.965,0.948,0.949,0.907,0.936,-0.029,-3.0052,32605.0,3062.684
510800.SH,20180326,0.936,0.934,0.935,0.913,0.926,-0.01,-1.0684,23489.0,2162.026
510800.SH,20180327,0.926,0.928,0.95,0.919,0.925,-0.001,-0.108,24778.0,2299.26
510800.SH,20180328,0.925,0.925,0.927,0.903,0.906,-0.019,-2.0541,28558.0,2603.636
510800.SH,20180329,0.906,0.917,0.937,0.893,0.929,0.023,2.5386,40978.0,3741.461
510800.SH,20180330,0.929,0.933,0.933,0.913,0.917,-0.012,-1.2917,26317.0,2418.177
510800.SH,20180402,0.917,0.918,0.927,0.91,0.914,-0.003,-0.3272,21035.0,1930.114
510800.SH,20180403,0.914,0.891,0.912,0.891,0.906,-0.008,-0.8753,11009.0,997.35
510800.SH,20180404,0.906,0.906,0.916,0.906,0.914,0.008,0.883,16979.0,1550.682
510800.SH,20180409,0.914,0.912,0.918,0.904,0.911,-0.003,-0.3282,17822.0,1623.774
510800.SH,20180410,0.911,0.916,0.938,0.91,0.937,0.026,2.854,38766.0,3577.535
510800.SH,20180411,0.937,0.939,0.943,0.931,0.936,-0.001,-0.1067,33300.0,3119.4
510800.SH,20180412,0.936,0.935,0.937,0.924,0.929,-0.007,-0.7479,25120.0,2334.572
510800.SH,20180413,0.929,0.93,0.932,0.911,0.913,-0.016,-1.7223,26581.0,2454.156
510800.SH,20180416,0.913,0.917,0.917,0.895,0.897,-0.016,-1.7525,67581.0,6100.286
510800.SH,20180417,0.897,0.899,0.904,0.883,0.889,-0.008,-0.8919,31520.0,2821.425
510800.SH,20180418,0.889,0.896,0.905,0.883,0.891,0.002,0.225,26723.0,2379.941
510800.SH,20180419,0.891,0.89,0.905,0.89,0.901,0.01,1.1223,35947.0,3239.315
510800.SH,20180420,0.901,0.905,0.905,0.884,0.89,-0.011,-1.2209,29689.0,2645.807
510800.SH,20180423,0.89,0.89,0.899,0.886,0.896,0.006,0.6742,15072.0,1344.74
510800.SH,20180424,0.896,0.899,0.921,0.898,0.919,0.023,2.567,54449.0,4973.253
510800.SH,20180425,0.919,0.915,0.919,0.909,0.91,-0.009,-0.9793,19552.0,1783.434
510800.SH,20180426,0.91,0.91,0.917,0.895,0.897,-0.013,-1.4286,18413.0,1660.245
510800.SH,20180427,0.897,0.898,0.909,0.883,0.895,-0.002,-0.223,34267.0,3054.941
510800.SH,20180502,0.895,0.892,0.908,0.887,0.891,-0.004,-0.4469,16446.0,1467.412
510800.SH,20180503,0.891,0.888,0.899,0.886,0.897,0.006,0.6734,23944.0,2140.369
510800.SH,20180504,0.897,0.896,0.899,0.89,0.892,-0.005,-0.5574,9175.0,820.536
510800.SH,20180507,0.892,0.892,0.906,0.888,0.905,0.013,1.4574,30617.0,2754.289
510800.SH,20180508,0.905,0.905,0.922,0.902,0.918,0.013,1.4365,52507.0,4801.538
510800.SH,20180509,0.918,0.917,0.918,0.912,0.915,-0.003,-0.3268,7286.0,666.569
510800.SH,20180510,0.915,0.917,0.929,0.913,0.921,0.006,0.6557,14893.0,1366.314
510800.SH,20180511,0.921,0.921,0.925,0.917,0.921,0.0,0.0,10919.0,1004.025
510800.SH,20180514,0.921,0.924,0.931,0.922,0.929,0.008,0.8686,17753.0,1645.491
510800.SH,20180515,0.929,0.93,0.939,0.922,0.927,-0.002,-0.2153,6736.0,623.744
510800.SH,20180516,0.927,0.928,0.928,0.915,0.92,-0.007,-0.7551,8122.0,747.959
510800.SH,20180517,0.92,0.916,0.922,0.912,0.912,-0.008,-0.8696,9576.0,875.84
510800.SH,20180518,0.912,0.912,0.926,0.911,0.925,0.013,1.4254,18479.0,1700.844
510800.SH,20180521,0.925,0.928,0.936,0.927,0.93,0.005,0.5405,19760.0,1838.415
510800.SH,20180522,0.93,0.93,0.93,0.917,0.924,-0.006,-0.6452,15263.0,1404.917
510800.SH,20180523,0.924,0.922,0.923,0.909,0.911,-0.013,-1.4069,30162.0,2752.642
510800.SH,20180524,0.911,0.911,0.913,0.904,0.904,-0.007,-0.7684,10607.0,962.137
510800.SH,20180525,0.904,0.904,0.908,0.902,0.903,-0.001,-0.1106,8297.0,750.675
510800.SH,20180528,0.903,0.906,0.91,0.901,0.908,0.005,0.5537,14686.0,1330.168
510800.SH,20180529,0.908,0.908,0.91,0.9,0.904,-0.004,-0.4405,18259.0,1647.896
