ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
159994.SZ,20200228,1.078,1.07,1.07,1.01,1.024,-0.054,-5.0093,7208769.69,745694.411
159994.SZ,20200302,1.024,1.051,1.098,1.023,1.076,0.052,5.0781,6487653.24,687384.368
159994.SZ,20200303,1.076,1.118,1.127,1.056,1.068,-0.008,-0.7435,10296251.58,1126398.217
159994.SZ,20200304,1.068,1.05,1.058,1.009,1.032,-0.036,-3.3708,8500931.55,876601.722
159994.SZ,20200305,1.032,1.068,1.068,1.02,1.041,0.009,0.8721,8719724.64,908428.347
159994.SZ,20200306,1.041,1.021,1.037,1.015,1.027,-0.014,-1.3449,4596951.03,471397.511
159994.SZ,20200309,1.027,1.009,1.024,0.976,0.978,-0.049,-4.7712,12028798.72,1201430.312
159994.SZ,20200310,0.978,0.97,1.032,0.966,1.032,0.054,5.5215,10223662.82,1024848.809
159994.SZ,20200311,1.032,1.041,1.063,1.01,1.012,-0.02,-1.938,11079547.51,1149903.3
159994.SZ,20200312,1.012,0.995,1.004,0.979,0.997,-0.015,-1.4822,9946361.18,984580.493
159994.SZ,20200313,0.997,0.956,1.014,0.941,0.998,0.001,0.1003,10421997.8,1021000.505
159994.SZ,20200316,0.998,1.004,1.004,0.906,0.911,-0.087,-8.7174,16495465.22,1560945.224
159994.SZ,20200317,0.911,0.93,0.936,0.854,0.893,-0.018,-1.9759,9212074.96,822641.049
159994.SZ,20200318,0.893,0.902,0.924,0.87,0.871,-0.022,-2.4636,8663719.52,781588.582
159994.SZ,20200319,0.871,0.877,0.91,0.854,0.898,0.027,3.0999,10028652.22,883275.045
159994.SZ,20200320,0.898,0.911,0.915,0.878,0.899,0.001,0.1114,6615576.2,592960.405
159994.SZ,20200323,0.899,0.87,0.877,0.837,0.843,-0.056,-6.2291,9446149.76,813034.296
159994.SZ,20200324,0.843,0.864,0.868,0.822,0.862,0.019,2.2539,7897705.01,671862.885
159994.SZ,20200325,0.862,0.883,0.902,0.882,0.895,0.033,3.8283,9464991.59,844144.901
159994.SZ,20200326,0.895,0.883,0.89,0.871,0.871,-0.024,-2.6816,4199462.3,369287.914
159994.SZ,20200327,0.871,0.885,0.889,0.86,0.861,-0.01,-1.1481,4290373.3,374568.334
159994.SZ,20200330,0.861,0.842,0.852,0.815,0.84,-0.021,-2.439,7757685.59,644542.65
159994.SZ,20200331,0.84,0.851,0.854,0.831,0.832,-0.008,-0.9524,4375370.51,368342.567
