ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
510900.SH,20121022,1.016,0.981,1.009,0.981,1.007,-0.009,-0.8858,3262105.43,326840.777
510900.SH,20121023,1.007,1.006,1.006,1.0,1.0,-0.007,-0.6951,218901.99,21925.165
510900.SH,20121024,1.0,0.997,1.006,0.996,0.999,-0.001,-0.1,368428.55,36868.305
510900.SH,20121025,0.999,0.998,1.005,0.997,0.998,-0.001,-0.1001,223936.99,22408.775
510900.SH,20121026,0.998,1.0,1.0,0.982,0.987,-0.011,-1.1022,148478.0,14708.607
510900.SH,20121029,0.987,0.987,0.997,0.982,0.994,0.007,0.7092,172087.98,17069.619
510900.SH,20121030,0.994,0.996,0.999,0.991,0.992,-0.002,-0.2012,2129097.24,211755.525
510900.SH,20121031,0.992,0.994,0.998,0.993,0.994,0.002,0.2016,1321089.0,131500.212
510900.SH,20121101,0.994,0.997,1.011,0.993,1.01,0.016,1.6097,1359516.34,136008.497
510900.SH,20121102,1.01,1.016,1.033,1.016,1.029,0.019,1.8812,120289.79,12352.564
510900.SH,20121105,1.029,1.02,1.026,1.016,1.019,-0.01,-0.9718,21959.0,2239.147
510900.SH,20121106,1.019,1.014,1.014,1.002,1.011,-0.008,-0.7851,22594.99,2276.997
510900.SH,20121107,1.011,1.011,1.014,1.0,1.012,0.001,0.0989,21400.0,2157.589
510900.SH,20121108,1.012,1.0,1.003,0.993,0.996,-0.016,-1.581,43872.58,4387.943
510900.SH,20121109,0.996,0.985,0.985,0.98,0.98,-0.016,-1.6064,23087.0,2266.22
510900.SH,20121112,0.98,0.982,0.984,0.977,0.984,0.004,0.4082,13506.9,1326.514
510900.SH,20121113,0.984,0.98,0.98,0.959,0.962,-0.022,-2.2358,51454.62,4958.218
510900.SH,20121114,0.962,0.964,0.975,0.963,0.973,0.011,1.1435,60561.99,5875.903
510900.SH,20121115,0.973,0.978,0.978,0.959,0.959,-0.014,-1.4388,30756.79,2967.883
510900.SH,20121116,0.959,0.957,0.965,0.957,0.961,0.002,0.2086,8069.0,776.484
510900.SH,20121119,0.961,0.97,0.99,0.966,0.984,0.023,2.3933,99995.0,9708.661
510900.SH,20121120,0.984,0.984,0.987,0.973,0.974,-0.01,-1.0163,24988.0,2454.88
510900.SH,20121121,0.974,0.973,0.975,0.964,0.974,0.0,0.0,77760.0,7540.755
510900.SH,20121122,0.974,0.978,0.99,0.978,0.984,0.01,1.0267,34747.92,3421.749
510900.SH,20121123,0.984,0.98,0.994,0.98,0.99,0.006,0.6098,12134.92,1201.484
510900.SH,20121126,0.99,0.992,0.995,0.99,0.993,0.003,0.303,20328.0,2019.117
510900.SH,20121127,0.993,0.993,0.998,0.988,0.989,-0.004,-0.4028,79059.0,7845.252
510900.SH,20121128,0.989,0.978,0.979,0.97,0.972,-0.017,-1.7189,29693.0,2896.207
510900.SH,20121129,0.972,0.98,0.99,0.979,0.981,0.009,0.9259,154773.0,15215.904
510900.SH,20121130,0.981,0.987,0.995,0.982,0.991,0.01,1.0194,34651.0,3432.564
510900.SH,20121203,0.991,0.995,0.996,0.98,0.981,-0.01,-1.0091,110816.0,10976.632
510900.SH,20121204,0.981,0.98,0.98,0.957,0.975,-0.006,-0.6116,37741.0,3663.021
