ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
510180.SH,20110907,0.575,0.577,0.599,0.575,0.584,0.009,1.5652,3579232.57,207508.724
510180.SH,20110908,0.584,0.587,0.587,0.579,0.58,-0.004,-0.6849,2784803.28,162667.835
510180.SH,20110909,0.58,0.581,0.591,0.577,0.58,0.0,0.0,9345082.38,542688.003
510180.SH,20110913,0.58,0.573,0.575,0.569,0.574,-0.006,-1.0345,2482874.78,142005.262
510180.SH,20110914,0.574,0.575,0.578,0.564,0.575,0.001,0.1742,2762099.41,157808.55
510180.SH,20110915,0.575,0.576,0.581,0.573,0.575,0.0,0.0,3419306.62,197223.646
510180.SH,20110916,0.575,0.577,0.58,0.574,0.575,0.0,0.0,1909799.55,110305.968
510180.SH,20110919,0.575,0.571,0.571,0.564,0.565,-0.01,-1.7391,3255052.31,184372.187
510180.SH,20110920,0.565,0.564,0.569,0.562,0.567,0.002,0.354,3122187.91,176223.028
510180.SH,20110921,0.567,0.566,0.586,0.563,0.583,0.016,2.8219,6332299.59,366782.49
510180.SH,20110922,0.583,0.578,0.58,0.565,0.567,-0.016,-2.7444,3782864.32,216950.937
510180.SH,20110923,0.567,0.558,0.566,0.555,0.563,-0.004,-0.7055,9613422.3,537577.02
510180.SH,20110926,0.563,0.558,0.565,0.548,0.55,-0.013,-2.3091,6564279.37,363378.935
510180.SH,20110927,0.55,0.554,0.56,0.551,0.555,0.005,0.9091,4261201.53,236678.627
510180.SH,20110928,0.555,0.559,0.56,0.547,0.551,-0.004,-0.7207,2722258.27,150844.52
510180.SH,20110929,0.551,0.547,0.551,0.543,0.546,-0.005,-0.9074,5525359.15,302709.639
510180.SH,20110930,0.546,0.547,0.55,0.541,0.542,-0.004,-0.7326,4239946.77,231004.296
510180.SH,20111010,0.542,0.544,0.546,0.537,0.538,-0.004,-0.738,6984008.53,378488.862
510180.SH,20111011,0.538,0.552,0.556,0.534,0.538,0.0,0.0,8449126.47,459062.083
510180.SH,20111012,0.538,0.535,0.56,0.533,0.558,0.02,3.7175,13076297.52,716326.884
510180.SH,20111013,0.558,0.556,0.565,0.555,0.562,0.004,0.7168,10738311.61,602226.105
510180.SH,20111014,0.562,0.56,0.564,0.556,0.562,0.0,0.0,2998472.65,167834.446
510180.SH,20111017,0.562,0.563,0.568,0.56,0.564,0.002,0.3559,4165810.74,235245.981
510180.SH,20111018,0.564,0.56,0.561,0.546,0.547,-0.017,-3.0142,3327149.41,184093.942
510180.SH,20111019,0.547,0.549,0.554,0.546,0.548,0.001,0.1828,3291665.61,181013.348
510180.SH,20111020,0.548,0.544,0.544,0.531,0.536,-0.012,-2.1898,5438042.64,291726.136
510180.SH,20111021,0.536,0.536,0.54,0.533,0.535,-0.001,-0.1866,4358411.76,233445.459
510180.SH,20111024,0.535,0.537,0.551,0.534,0.549,0.014,2.6168,4950659.66,268883.823
510180.SH,20111025,0.549,0.548,0.561,0.545,0.558,0.009,1.6393,8357744.17,463173.129
510180.SH,20111026,0.558,0.556,0.57,0.556,0.563,0.005,0.8961,7098390.9,400787.583
510180.SH,20111027,0.563,0.564,0.568,0.563,0.565,0.002,0.3552,4462206.22,252271.526
510180.SH,20111028,0.565,0.575,0.583,0.571,0.577,0.012,2.1239,7343067.91,422805.743
510180.SH,20111031,0.577,0.576,0.576,0.57,0.572,-0.005,-0.8666,3732425.32,213965.033
510180.SH,20111101,0.572,0.569,0.581,0.567,0.573,0.001,0.1748,5902835.61,339172.31
510180.SH,20111102,0.573,0.565,0.585,0.565,0.584,0.011,1.9197,7202398.26,412388.938
510180.SH,20111103,0.584,0.588,0.591,0.582,0.583,-0.001,-0.1712,9895668.49,580609.126
510180.SH,20111104,0.583,0.587,0.592,0.584,0.589,0.006,1.0292,5445743.78,319996.358
510180.SH,20111107,0.589,0.585,0.588,0.58,0.581,-0.008,-1.3582,4471643.28,260873.125
510180.SH,20111108,0.581,0.583,0.586,0.579,0.58,-0.001,-0.1721,5189707.28,302196.112
510180.SH,20111109,0.58,0.583,0.586,0.576,0.584,0.004,0.6897,4571635.41,265551.904
510180.SH,20111110,0.584,0.579,0.58,0.571,0.571,-0.013,-2.226,7697680.0,443807.239
510180.SH,20111111,0.571,0.573,0.576,0.569,0.573,0.002,0.3503,3996239.86,229163.591
510180.SH,20111114,0.573,0.576,0.585,0.575,0.584,0.011,1.9197,5056166.32,293891.708
510180.SH,20111115,0.584,0.582,0.584,0.579,0.581,-0.003,-0.5137,3300848.54,191930.838
510180.SH,20111116,0.581,0.581,0.582,0.563,0.565,-0.016,-2.7539,5502162.15,313361.045
510180.SH,20111117,0.565,0.566,0.569,0.562,0.563,-0.002,-0.354,2562467.98,144854.749
510180.SH,20111118,0.563,0.559,0.561,0.551,0.553,-0.01,-1.7762,4562012.0,253443.903
510180.SH,20111121,0.553,0.553,0.554,0.549,0.553,0.0,0.0,2014981.12,111123.874
510180.SH,20111122,0.553,0.55,0.554,0.547,0.552,-0.001,-0.1808,2483367.09,136903.153
510180.SH,20111123,0.552,0.554,0.554,0.545,0.548,-0.004,-0.7246,4540181.11,249272.649
510180.SH,20111124,0.548,0.545,0.552,0.542,0.549,0.001,0.1825,3851846.63,210534.327
510180.SH,20111125,0.549,0.547,0.55,0.542,0.543,-0.006,-1.0929,3084753.8,168356.63
510180.SH,20111128,0.543,0.545,0.548,0.541,0.546,0.003,0.5525,4943324.94,269195.406
510180.SH,20111129,0.546,0.549,0.552,0.546,0.551,0.005,0.9158,5291995.05,290559.048
510180.SH,20111130,0.551,0.55,0.551,0.531,0.535,-0.016,-2.9038,8121470.74,438216.014
510180.SH,20111201,0.535,0.55,0.559,0.546,0.549,0.014,2.6168,9839334.75,541584.078
510180.SH,20111202,0.549,0.545,0.547,0.54,0.544,-0.005,-0.9107,2788711.04,151578.308
510180.SH,20111205,0.544,0.542,0.544,0.537,0.538,-0.006,-1.1029,4706913.47,254218.684
510180.SH,20111206,0.538,0.536,0.539,0.533,0.536,-0.002,-0.3717,4593846.04,246236.368
510180.SH,20111207,0.536,0.536,0.54,0.534,0.539,0.003,0.5597,3560974.88,191611.666
510180.SH,20111208,0.539,0.539,0.544,0.532,0.539,0.0,0.0,3491987.57,187972.508
510180.SH,20111209,0.539,0.535,0.538,0.533,0.534,-0.005,-0.9276,3388931.74,181351.05
510180.SH,20111212,0.534,0.533,0.535,0.529,0.53,-0.004,-0.7491,3312888.45,175951.687
510180.SH,20111213,0.53,0.529,0.529,0.517,0.518,-0.012,-2.2642,10165735.4,531224.587
510180.SH,20111214,0.518,0.516,0.519,0.512,0.512,-0.006,-1.1583,5291876.55,272834.372
510180.SH,20111215,0.512,0.509,0.511,0.5,0.5,-0.012,-2.3438,5387572.08,272341.856
510180.SH,20111216,0.5,0.5,0.511,0.497,0.51,0.01,2.0,13157607.62,660288.325
510180.SH,20111219,0.51,0.506,0.511,0.495,0.51,0.0,0.0,11257455.56,565812.694
510180.SH,20111220,0.51,0.507,0.515,0.506,0.507,-0.003,-0.5882,6371081.11,325092.876
510180.SH,20111221,0.507,0.512,0.514,0.5,0.5,-0.007,-1.3807,3359527.57,170812.169
510180.SH,20111222,0.5,0.498,0.505,0.492,0.501,0.001,0.2,7609608.03,379277.062
510180.SH,20111223,0.501,0.499,0.511,0.498,0.504,0.003,0.5988,3855763.42,194665.199
510180.SH,20111226,0.504,0.501,0.508,0.499,0.5,-0.004,-0.7937,3497402.55,175589.036
510180.SH,20111227,0.5,0.499,0.504,0.494,0.495,-0.005,-1.0,3165155.43,157828.275
510180.SH,20111228,0.495,0.494,0.497,0.488,0.496,0.001,0.202,5422844.66,267274.627
510180.SH,20111229,0.496,0.494,0.499,0.493,0.496,0.0,0.0,2662091.1,132050.37
510180.SH,20111230,0.496,0.498,0.505,0.498,0.504,0.008,1.6129,5214843.51,261649.221
510180.SH,20120104,0.504,0.507,0.509,0.494,0.495,-0.009,-1.7857,3623746.53,181544.464
510180.SH,20120105,0.495,0.493,0.501,0.491,0.491,-0.004,-0.8081,7974844.85,394902.986
510180.SH,20120106,0.491,0.491,0.496,0.489,0.495,0.004,0.8147,7673200.72,377295.681
510180.SH,20120109,0.495,0.495,0.513,0.491,0.512,0.017,3.4343,9326883.29,468246.499
510180.SH,20120110,0.512,0.512,0.53,0.51,0.529,0.017,3.3203,12185639.53,635781.652
510180.SH,20120111,0.529,0.529,0.531,0.522,0.524,-0.005,-0.9452,7353811.77,386997.106
510180.SH,20120112,0.524,0.523,0.532,0.522,0.526,0.002,0.3817,6608038.78,348442.487
510180.SH,20120113,0.526,0.527,0.529,0.514,0.519,-0.007,-1.3308,7335766.48,382281.773
510180.SH,20120116,0.519,0.515,0.519,0.508,0.508,-0.011,-2.1195,4407067.71,226914.369
510180.SH,20120117,0.508,0.509,0.537,0.505,0.534,0.026,5.1181,10957293.94,573243.443
510180.SH,20120118,0.534,0.535,0.538,0.523,0.525,-0.009,-1.6854,7913382.98,420807.268
510180.SH,20120119,0.525,0.525,0.539,0.524,0.537,0.012,2.2857,8889987.39,474152.193
510180.SH,20120120,0.537,0.539,0.545,0.534,0.544,0.007,1.3035,12464846.37,673437.658
510180.SH,20120130,0.544,0.543,0.543,0.533,0.533,-0.011,-2.0221,9140849.87,491348.49
510180.SH,20120131,0.533,0.534,0.537,0.53,0.534,0.001,0.1876,2734111.44,145940.182
510180.SH,20120201,0.534,0.533,0.539,0.524,0.527,-0.007,-1.3109,4878509.11,259210.966
510180.SH,20120202,0.527,0.528,0.54,0.526,0.538,0.011,2.0873,6374201.08,338895.938
510180.SH,20120203,0.538,0.536,0.546,0.535,0.541,0.003,0.5576,8589882.71,463568.451
510180.SH,20120206,0.541,0.544,0.547,0.538,0.541,0.0,0.0,5754541.97,312181.792
510180.SH,20120207,0.541,0.539,0.539,0.528,0.532,-0.009,-1.6636,7094454.8,377569.393
510180.SH,20120208,0.532,0.532,0.552,0.53,0.547,0.015,2.8195,8659575.33,467785.809
510180.SH,20120209,0.547,0.546,0.551,0.543,0.547,0.0,0.0,8946958.06,489813.019
510180.SH,20120210,0.547,0.545,0.554,0.544,0.547,0.0,0.0,5112674.91,280530.849
510180.SH,20120213,0.547,0.542,0.552,0.54,0.547,0.0,0.0,5651966.86,309083.894
510180.SH,20120214,0.547,0.546,0.547,0.541,0.544,-0.003,-0.5484,3792102.04,205970.475
510180.SH,20120215,0.544,0.543,0.553,0.541,0.548,0.004,0.7353,9052445.02,496312.249
510180.SH,20120216,0.548,0.548,0.552,0.543,0.546,-0.002,-0.365,6227139.98,340587.389
510180.SH,20120217,0.546,0.55,0.552,0.545,0.547,0.001,0.1832,2768867.97,151861.121
510180.SH,20120220,0.547,0.554,0.556,0.548,0.549,0.002,0.3656,4516606.84,249410.029
510180.SH,20120221,0.549,0.549,0.553,0.544,0.552,0.003,0.5464,5149816.03,282458.573
510180.SH,20120222,0.552,0.552,0.56,0.55,0.559,0.007,1.2681,5976990.81,332229.274
510180.SH,20120223,0.559,0.559,0.562,0.557,0.56,0.001,0.1789,8983647.33,502859.573
510180.SH,20120224,0.56,0.561,0.57,0.559,0.569,0.009,1.6071,6601176.92,372838.289
510180.SH,20120227,0.569,0.571,0.579,0.569,0.573,0.004,0.703,7586881.75,434908.221
510180.SH,20120228,0.573,0.571,0.575,0.569,0.573,0.0,0.0,11497705.45,657743.815
510180.SH,20120229,0.573,0.572,0.574,0.566,0.567,-0.006,-1.0471,4486008.38,255416.001
510180.SH,20120301,0.567,0.566,0.57,0.565,0.567,0.0,0.0,3291614.27,186866.563
510180.SH,20120302,0.567,0.568,0.577,0.567,0.577,0.01,1.7637,5153677.06,295045.195
510180.SH,20120305,0.577,0.578,0.579,0.571,0.572,-0.005,-0.8666,4957790.59,284912.748
510180.SH,20120306,0.572,0.57,0.571,0.561,0.562,-0.01,-1.7483,7274160.95,410378.376
510180.SH,20120307,0.562,0.559,0.563,0.557,0.558,-0.004,-0.7117,5541177.5,310068.809
510180.SH,20120308,0.558,0.56,0.567,0.559,0.565,0.007,1.2545,3657838.13,206189.962
510180.SH,20120309,0.565,0.567,0.57,0.564,0.57,0.005,0.885,4178896.5,237215.524
510180.SH,20120312,0.57,0.569,0.57,0.564,0.567,-0.003,-0.5263,3607578.1,204421.795
510180.SH,20120313,0.567,0.566,0.573,0.565,0.572,0.005,0.8818,4107355.82,233675.351
510180.SH,20120314,0.572,0.576,0.578,0.556,0.558,-0.014,-2.4476,10526275.25,596605.78
510180.SH,20120315,0.558,0.559,0.56,0.552,0.553,-0.005,-0.8961,13238867.08,736404.592
510180.SH,20120316,0.553,0.555,0.559,0.55,0.558,0.005,0.9042,4977257.96,276512.338
510180.SH,20120319,0.558,0.558,0.561,0.554,0.561,0.003,0.5376,4357244.08,243293.013
510180.SH,20120320,0.561,0.56,0.56,0.552,0.553,-0.008,-1.426,5869644.38,325886.741
510180.SH,20120321,0.553,0.555,0.558,0.549,0.554,0.001,0.1808,4886656.79,270016.718
510180.SH,20120322,0.554,0.554,0.556,0.55,0.553,-0.001,-0.1805,2797574.99,154583.315
510180.SH,20120323,0.553,0.552,0.552,0.545,0.548,-0.005,-0.9042,5677540.55,311562.397
510180.SH,20120326,0.548,0.547,0.549,0.544,0.547,-0.001,-0.1825,3475986.26,189923.311
510180.SH,20120327,0.547,0.549,0.55,0.545,0.546,-0.001,-0.1828,3677689.39,201433.044
510180.SH,20120328,0.546,0.544,0.545,0.529,0.531,-0.015,-2.7473,5971172.27,321364.394
510180.SH,20120329,0.531,0.529,0.531,0.522,0.525,-0.006,-1.1299,6069300.78,319984.361
510180.SH,20120330,0.525,0.525,0.529,0.524,0.528,0.003,0.5714,4444631.77,234124.249
510180.SH,20120405,0.528,0.527,0.54,0.524,0.539,0.011,2.0833,13856389.79,739268.939
