ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
159902.SZ,20110907,2.515,2.53,2.574,2.521,2.574,0.059,2.3459,367760.92,93534.9506
159902.SZ,20110908,2.574,2.581,2.587,2.555,2.557,-0.017,-0.6605,286476.07,73831.5461
159902.SZ,20110909,2.557,2.552,2.585,2.53,2.539,-0.018,-0.7039,412152.61,105192.5393
159902.SZ,20110913,2.539,2.505,2.505,2.478,2.492,-0.047,-1.8511,150529.23,37512.5048
159902.SZ,20110914,2.492,2.505,2.517,2.455,2.517,0.025,1.0032,275438.51,68645.4863
159902.SZ,20110915,2.517,2.519,2.545,2.511,2.524,0.007,0.2781,219612.66,55598.2587
159902.SZ,20110916,2.524,2.534,2.544,2.512,2.517,-0.007,-0.2773,149337.16,37766.7507
159902.SZ,20110919,2.517,2.499,2.5,2.468,2.469,-0.048,-1.907,181754.8,45051.9335
159902.SZ,20110920,2.469,2.464,2.481,2.438,2.469,0.0,0.0,281528.96,69013.653
159902.SZ,20110921,2.469,2.476,2.541,2.452,2.539,0.07,2.8352,505424.92,126556.5764
159902.SZ,20110922,2.539,2.519,2.535,2.466,2.466,-0.073,-2.8751,242947.81,60934.1083
159902.SZ,20110923,2.466,2.451,2.451,2.412,2.447,-0.019,-0.7705,334507.28,81287.1881
159902.SZ,20110926,2.447,2.434,2.457,2.406,2.406,-0.041,-1.6755,611395.68,147474.3465
159902.SZ,20110927,2.406,2.424,2.429,2.392,2.418,0.012,0.4988,124238.51,29984.0428
159902.SZ,20110928,2.418,2.429,2.43,2.366,2.38,-0.038,-1.5715,193898.79,46496.0554
159902.SZ,20110929,2.38,2.366,2.37,2.327,2.335,-0.045,-1.8908,213138.18,50027.8602
159902.SZ,20110930,2.335,2.339,2.349,2.312,2.326,-0.009,-0.3854,153371.45,35692.0872
159902.SZ,20111010,2.326,2.334,2.348,2.304,2.309,-0.017,-0.7309,56608.63,13146.1962
159902.SZ,20111011,2.309,2.353,2.369,2.277,2.293,-0.016,-0.6929,213049.85,49463.8037
159902.SZ,20111012,2.293,2.284,2.38,2.272,2.38,0.087,3.7942,602695.71,140294.9294
159902.SZ,20111013,2.38,2.38,2.417,2.365,2.404,0.024,1.0084,746279.67,179238.9823
159902.SZ,20111014,2.404,2.394,2.41,2.362,2.39,-0.014,-0.5824,453641.53,108102.7611
159902.SZ,20111017,2.39,2.39,2.417,2.385,2.405,0.015,0.6276,250596.84,60235.3917
159902.SZ,20111018,2.405,2.38,2.395,2.341,2.341,-0.064,-2.6611,264288.45,62726.2448
159902.SZ,20111019,2.341,2.348,2.357,2.322,2.33,-0.011,-0.4699,210753.53,49266.1993
159902.SZ,20111020,2.33,2.314,2.317,2.249,2.251,-0.079,-3.3906,496536.14,112825.489
159902.SZ,20111021,2.251,2.257,2.263,2.221,2.221,-0.03,-1.3327,347528.65,77906.4037
159902.SZ,20111024,2.221,2.222,2.268,2.192,2.268,0.047,2.1162,459665.91,102937.0984
159902.SZ,20111025,2.268,2.262,2.331,2.255,2.329,0.061,2.6896,449077.73,103231.9445
159902.SZ,20111026,2.329,2.338,2.367,2.32,2.355,0.026,1.1164,690705.38,161861.8928
159902.SZ,20111027,2.355,2.355,2.375,2.335,2.345,-0.01,-0.4246,380817.67,89716.361
159902.SZ,20111028,2.345,2.372,2.402,2.36,2.4,0.055,2.3454,477086.82,113803.17
159902.SZ,20111031,2.4,2.4,2.406,2.382,2.397,-0.003,-0.125,468809.43,112281.2628
159902.SZ,20111101,2.397,2.373,2.411,2.37,2.391,-0.006,-0.2503,593100.31,141839.851
159902.SZ,20111102,2.391,2.352,2.452,2.35,2.452,0.061,2.5512,622605.99,149133.9122
159902.SZ,20111103,2.452,2.46,2.5,2.455,2.457,0.005,0.2039,761689.81,188939.565
159902.SZ,20111104,2.457,2.475,2.487,2.456,2.475,0.018,0.7326,543688.22,134443.7224
159902.SZ,20111107,2.475,2.465,2.489,2.456,2.456,-0.019,-0.7677,455103.84,112414.5649
159902.SZ,20111108,2.456,2.463,2.468,2.422,2.426,-0.03,-1.2215,417037.97,101938.2437
159902.SZ,20111109,2.426,2.43,2.478,2.412,2.474,0.048,1.9786,654400.87,160039.0124
159902.SZ,20111110,2.474,2.451,2.47,2.44,2.44,-0.034,-1.3743,920729.26,225990.1271
159902.SZ,20111111,2.44,2.445,2.452,2.43,2.436,-0.004,-0.1639,739290.95,180421.136
159902.SZ,20111114,2.436,2.45,2.5,2.45,2.497,0.061,2.5041,669597.77,166311.9485
159902.SZ,20111115,2.497,2.496,2.504,2.485,2.502,0.005,0.2002,410027.45,102343.4195
159902.SZ,20111116,2.502,2.5,2.503,2.422,2.442,-0.06,-2.3981,1085746.91,266335.2896
159902.SZ,20111117,2.442,2.437,2.459,2.425,2.434,-0.008,-0.3276,569754.41,138900.9729
159902.SZ,20111118,2.434,2.411,2.42,2.363,2.368,-0.066,-2.7116,736703.63,176323.3669
159902.SZ,20111121,2.368,2.365,2.375,2.348,2.37,0.002,0.0845,307805.28,72700.9769
159902.SZ,20111122,2.37,2.35,2.37,2.34,2.361,-0.009,-0.3797,314083.86,74105.8979
159902.SZ,20111123,2.361,2.371,2.378,2.352,2.353,-0.008,-0.3388,246510.93,58262.0848
159902.SZ,20111124,2.353,2.333,2.37,2.32,2.355,0.002,0.085,478238.26,112157.3959
159902.SZ,20111125,2.355,2.355,2.377,2.337,2.339,-0.016,-0.6794,458340.61,107639.1336
159902.SZ,20111128,2.339,2.345,2.358,2.33,2.347,0.008,0.342,318507.84,74717.8443
159902.SZ,20111129,2.347,2.366,2.383,2.351,2.383,0.036,1.5339,417179.38,98768.0273
159902.SZ,20111130,2.383,2.379,2.379,2.271,2.291,-0.092,-3.8607,512928.16,119743.2039
159902.SZ,20111201,2.291,2.36,2.378,2.329,2.34,0.049,2.1388,1826362.28,429243.8029
159902.SZ,20111202,2.34,2.322,2.322,2.274,2.292,-0.048,-2.0513,472619.79,108465.8871
159902.SZ,20111205,2.292,2.282,2.287,2.218,2.221,-0.071,-3.0977,506555.52,113500.9091
159902.SZ,20111206,2.221,2.212,2.229,2.196,2.22,-0.001,-0.045,352419.03,78021.3175
159902.SZ,20111207,2.22,2.22,2.239,2.21,2.228,0.008,0.3604,490000.22,108993.1429
159902.SZ,20111208,2.228,2.23,2.251,2.19,2.231,0.003,0.1346,636634.44,141108.6162
159902.SZ,20111209,2.231,2.215,2.233,2.193,2.202,-0.029,-1.2999,774328.8,171219.1872
159902.SZ,20111212,2.202,2.2,2.214,2.178,2.183,-0.019,-0.8629,451619.31,99147.8382
159902.SZ,20111213,2.183,2.175,2.175,2.12,2.134,-0.049,-2.2446,530029.14,113499.6151
159902.SZ,20111214,2.134,2.131,2.137,2.088,2.093,-0.041,-1.9213,573956.56,121858.1007
159902.SZ,20111215,2.093,2.088,2.088,2.041,2.064,-0.029,-1.3856,427806.84,88171.1842
159902.SZ,20111216,2.064,2.06,2.12,2.05,2.116,0.052,2.5194,861558.01,178601.9328
159902.SZ,20111219,2.116,2.095,2.11,2.051,2.102,-0.014,-0.6616,397410.64,82651.5887
