ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
510500.SH,20130315,0.968,0.967,0.985,0.955,0.97,0.002,0.2066,3259273.08,315394.309
510500.SH,20130318,0.97,0.955,0.972,0.953,0.954,-0.016,-1.6495,936962.18,90173.448
510500.SH,20130319,0.954,0.956,0.96,0.941,0.96,0.006,0.6289,1080499.84,103293.942
510500.SH,20130320,0.96,0.96,0.986,0.958,0.985,0.025,2.6042,501195.28,48889.379
510500.SH,20130321,0.985,0.985,0.996,0.981,0.995,0.01,1.0152,698243.64,69241.889
510500.SH,20130322,0.995,0.995,1.0,0.989,0.999,0.004,0.402,609433.43,60703.968
510500.SH,20130325,0.999,0.999,1.0,0.989,0.996,-0.003,-0.3003,305027.12,30328.652
510500.SH,20130326,0.996,0.99,0.993,0.975,0.986,-0.01,-1.004,53697.56,5278.054
510500.SH,20130327,0.986,0.985,0.998,0.97,0.989,0.003,0.3043,261329.79,25885.673
510500.SH,20130328,0.989,0.973,0.975,0.95,0.962,-0.027,-2.73,92337.24,8949.443
510500.SH,20130329,0.962,0.963,0.969,0.959,0.963,0.001,0.104,752012.93,72583.858
510500.SH,20130401,0.963,0.964,0.975,0.962,0.968,0.005,0.5192,206580.94,20035.098
510500.SH,20130402,0.968,0.963,0.978,0.955,0.957,-0.011,-1.1364,30990.51,2985.61
510500.SH,20130403,0.957,0.958,0.96,0.946,0.951,-0.006,-0.627,67983.12,6459.777
510500.SH,20130408,0.951,0.92,0.953,0.92,0.953,0.002,0.2103,622151.03,58463.783
510500.SH,20130409,0.953,0.953,0.963,0.953,0.962,0.009,0.9444,180616.77,17313.595
510500.SH,20130410,0.962,0.955,0.965,0.953,0.959,-0.003,-0.3119,68805.85,6595.486
510500.SH,20130411,0.959,0.965,0.965,0.953,0.957,-0.002,-0.2086,148657.47,14239.722
510500.SH,20130412,0.957,0.952,0.957,0.947,0.949,-0.008,-0.8359,273677.2,26093.684
510500.SH,20130415,0.949,0.944,0.944,0.929,0.932,-0.017,-1.7914,53917.79,5050.966
510500.SH,20130416,0.932,0.914,0.944,0.914,0.943,0.011,1.1803,84854.44,7877.978
510500.SH,20130417,0.943,0.942,0.953,0.94,0.951,0.008,0.8484,109547.04,10374.714
510500.SH,20130418,0.951,0.931,0.959,0.931,0.954,0.003,0.3155,49991.65,4763.475
510500.SH,20130419,0.954,0.956,0.976,0.956,0.974,0.02,2.0964,72931.49,7074.97
510500.SH,20130422,0.974,0.97,0.98,0.969,0.98,0.006,0.616,38986.07,3800.81
510500.SH,20130423,0.98,0.975,0.978,0.951,0.952,-0.028,-2.8571,59785.25,5766.126
510500.SH,20130424,0.952,0.953,0.971,0.951,0.971,0.019,1.9958,33109.03,3180.337
510500.SH,20130425,0.971,0.972,0.977,0.959,0.959,-0.012,-1.2358,194565.87,18910.335
510500.SH,20130426,0.959,0.96,0.961,0.94,0.943,-0.016,-1.6684,139316.83,13201.783
510500.SH,20130502,0.943,0.94,0.949,0.936,0.946,0.003,0.3181,149678.29,14134.554
510500.SH,20130503,0.946,0.954,0.968,0.954,0.966,0.02,2.1142,99260.07,9581.122
510500.SH,20130506,0.966,0.966,0.985,0.966,0.983,0.017,1.7598,218749.55,21383.197
510500.SH,20130507,0.983,0.981,0.989,0.979,0.985,0.002,0.2035,182404.39,17976.965
510500.SH,20130508,0.985,0.984,0.996,0.984,0.995,0.01,1.0152,169100.56,16756.39
510500.SH,20130509,0.995,0.995,0.997,0.985,0.995,0.0,0.0,81280.74,8064.364
510500.SH,20130510,0.995,0.992,1.002,0.992,1.001,0.006,0.603,231993.37,23186.255
510500.SH,20130513,1.001,0.997,1.006,0.997,1.004,0.003,0.2997,232168.21,23288.04
510500.SH,20130514,1.004,1.003,1.003,0.988,0.993,-0.011,-1.0956,111260.31,11072.561
510500.SH,20130515,0.993,0.994,1.008,0.994,1.008,0.015,1.5106,286415.84,28713.138
510500.SH,20130516,1.008,1.001,1.023,1.0,1.019,0.011,1.0913,320783.44,32555.206
510500.SH,20130517,1.019,1.011,1.037,1.011,1.033,0.014,1.3739,277022.77,28488.13
510500.SH,20130520,1.033,1.04,1.048,1.032,1.046,0.013,1.2585,298204.91,31047.463
510500.SH,20130521,1.046,1.046,1.06,1.043,1.058,0.012,1.1472,287894.97,30247.728
510500.SH,20130522,1.058,1.056,1.062,1.045,1.05,-0.008,-0.7561,405935.84,42765.238
510500.SH,20130523,1.05,1.049,1.06,1.04,1.042,-0.008,-0.7619,130442.47,13716.774
510500.SH,20130524,1.042,1.042,1.058,1.04,1.057,0.015,1.4395,159659.96,16747.556
510500.SH,20130527,1.057,1.058,1.07,1.058,1.067,0.01,0.9461,74176.46,7901.108
510500.SH,20130528,1.067,1.068,1.072,1.054,1.071,0.004,0.3749,81982.1,8727.988
510500.SH,20130529,1.071,1.071,1.08,1.071,1.077,0.006,0.5602,72716.6,7820.906
510500.SH,20130530,1.077,1.078,1.083,1.072,1.08,0.003,0.2786,138719.17,14956.884
510500.SH,20130531,1.08,1.08,1.088,1.075,1.076,-0.004,-0.3704,57540.01,6238.331
510500.SH,20130603,1.076,1.057,1.079,1.057,1.069,-0.007,-0.6506,38302.46,4095.516
510500.SH,20130604,1.069,1.064,1.066,1.038,1.047,-0.022,-2.058,86852.26,9130.288
510500.SH,20130605,1.047,1.046,1.055,1.042,1.051,0.004,0.382,27112.12,2843.815
510500.SH,20130606,1.051,1.049,1.049,1.032,1.032,-0.019,-1.8078,48548.03,5051.309
510500.SH,20130607,1.032,1.033,1.038,1.008,1.013,-0.019,-1.8411,73538.99,7480.704
510500.SH,20130613,1.013,1.008,1.008,0.966,0.984,-0.029,-2.8628,46611.56,4576.993
510500.SH,20130614,0.984,0.984,1.007,0.984,1.006,0.022,2.2358,71501.98,7145.319
510500.SH,20130617,1.006,1.01,1.014,1.0,1.006,0.0,0.0,91162.05,9175.83
510500.SH,20130618,1.006,1.011,1.013,0.998,1.009,0.003,0.2982,23272.73,2341.203
510500.SH,20130619,1.009,1.009,1.009,0.99,1.005,-0.004,-0.3964,182892.32,18223.941
510500.SH,20130620,1.005,0.997,1.002,0.972,0.973,-0.032,-3.1841,123985.42,12301.666
510500.SH,20130621,0.973,0.97,0.972,0.938,0.966,-0.007,-0.7194,200856.53,19236.144
510500.SH,20130624,0.966,0.967,0.967,0.899,0.908,-0.058,-6.0041,51935.66,4807.9
510500.SH,20130625,0.908,0.907,0.928,0.838,0.904,-0.004,-0.4405,265349.21,23771.95
510500.SH,20130626,0.904,0.9,0.922,0.898,0.922,0.018,1.9912,107005.15,9710.948
510500.SH,20130627,0.922,0.925,0.938,0.904,0.906,-0.016,-1.7354,70676.73,6493.908
510500.SH,20130628,0.906,0.91,0.924,0.894,0.908,0.002,0.2208,32684.17,2974.186
510500.SH,20130701,0.908,0.907,0.981,0.902,0.925,0.017,1.8722,131081.31,11929.317
510500.SH,20130702,0.925,0.923,0.943,0.922,0.942,0.017,1.8378,38897.22,3626.154
