ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
512710.SH,20190826,1.021,0.998,1.015,0.998,1.014,-0.007,-0.6856,6307900.62,633861.092
512710.SH,20190827,1.014,1.027,1.038,1.019,1.033,0.019,1.8738,5026668.45,517479.535
512710.SH,20190828,1.033,1.035,1.042,1.028,1.032,-0.001,-0.0968,1935423.16,200487.926
512710.SH,20190829,1.032,1.037,1.049,1.033,1.042,0.01,0.969,2399578.02,250006.175
512710.SH,20190830,1.042,1.049,1.072,1.049,1.063,0.021,2.0154,2295668.38,243294.263
512710.SH,20190902,1.063,1.07,1.123,1.07,1.116,0.053,4.9859,2942090.84,323399.982
512710.SH,20190903,1.116,1.119,1.139,1.108,1.131,0.015,1.3441,2724748.68,306078.386
512710.SH,20190904,1.131,1.129,1.129,1.107,1.125,-0.006,-0.5305,2251189.46,251657.827
512710.SH,20190905,1.125,1.125,1.144,1.119,1.125,0.0,0.0,2061509.26,233037.069
512710.SH,20190906,1.125,1.125,1.135,1.12,1.131,0.006,0.5333,1560872.87,176002.044
512710.SH,20190909,1.131,1.135,1.147,1.128,1.146,0.015,1.3263,1597013.46,181388.817
512710.SH,20190910,1.146,1.145,1.16,1.125,1.13,-0.016,-1.3962,1650400.25,188074.186
512710.SH,20190911,1.13,1.131,1.131,1.112,1.114,-0.016,-1.4159,1526527.59,170870.667
512710.SH,20190912,1.114,1.117,1.12,1.11,1.119,0.005,0.4488,1143283.98,127522.273
512710.SH,20190916,1.119,1.123,1.126,1.113,1.118,-0.001,-0.0894,1348379.85,151111.715
512710.SH,20190917,1.118,1.118,1.118,1.077,1.079,-0.039,-3.4884,1840276.2,201076.521
512710.SH,20190918,1.079,1.08,1.085,1.071,1.075,-0.004,-0.3707,1324702.0,142766.627
512710.SH,20190919,1.075,1.077,1.091,1.075,1.09,0.015,1.3953,1148665.99,124330.864
512710.SH,20190920,1.09,1.089,1.091,1.077,1.083,-0.007,-0.6422,1063001.52,115302.054
512710.SH,20190923,1.083,1.08,1.086,1.073,1.082,-0.001,-0.0923,1476027.64,159267.449
512710.SH,20190924,1.082,1.081,1.09,1.075,1.083,0.001,0.0924,1012502.0,109711.195
512710.SH,20190925,1.083,1.081,1.081,1.062,1.066,-0.017,-1.5697,1389438.03,148586.646
512710.SH,20190926,1.066,1.069,1.07,1.029,1.03,-0.036,-3.3771,1509776.92,157669.786
512710.SH,20190927,1.03,1.029,1.04,1.026,1.034,0.004,0.3883,1807807.41,187107.314
512710.SH,20190930,1.034,1.035,1.036,1.019,1.021,-0.013,-1.2573,779009.82,79855.512
512710.SH,20191008,1.021,1.023,1.025,1.003,1.004,-0.017,-1.665,1024832.83,103766.749
512710.SH,20191009,1.004,1.001,1.011,0.995,1.01,0.006,0.5976,1004813.73,100849.104
512710.SH,20191010,1.01,1.006,1.014,1.002,1.014,0.004,0.396,818252.9,82449.707
512710.SH,20191011,1.014,1.016,1.017,1.003,1.011,-0.003,-0.2959,902292.64,91201.445
512710.SH,20191014,1.011,1.012,1.03,1.012,1.029,0.018,1.7804,1666629.83,170356.876
512710.SH,20191015,1.029,1.026,1.026,1.007,1.009,-0.02,-1.9436,1359621.0,137596.945
512710.SH,20191016,1.009,1.009,1.013,1.001,1.002,-0.007,-0.6938,1450638.5,146025.71
512710.SH,20191017,1.002,1.003,1.006,1.0,1.001,-0.001,-0.0998,1594019.35,159888.147
512710.SH,20191018,1.001,1.001,1.004,0.983,0.985,-0.016,-1.5984,1469568.8,145889.654
512710.SH,20191021,0.985,0.983,0.988,0.97,0.987,0.002,0.203,1537252.0,151003.902
512710.SH,20191022,0.987,0.986,1.0,0.986,1.0,0.013,1.3171,1667073.0,165476.218
