ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
159915.SZ,20111209,0.81,0.795,0.814,0.795,0.797,-0.013,-1.6049,1061772.33,85143.979
159915.SZ,20111212,0.797,0.79,0.803,0.79,0.79,-0.007,-0.8783,311065.09,24856.6952
159915.SZ,20111213,0.79,0.788,0.788,0.763,0.768,-0.022,-2.7848,967443.68,74527.4886
159915.SZ,20111214,0.768,0.768,0.777,0.755,0.76,-0.008,-1.0417,816094.68,62820.1826
159915.SZ,20111215,0.76,0.755,0.764,0.747,0.752,-0.008,-1.0526,417005.01,31372.8896
159915.SZ,20111216,0.752,0.75,0.784,0.748,0.781,0.029,3.8564,829384.39,63512.9938
159915.SZ,20111219,0.781,0.775,0.795,0.766,0.795,0.014,1.7926,1068735.2,83155.2775
159915.SZ,20111220,0.795,0.795,0.8,0.78,0.78,-0.015,-1.8868,651991.86,51697.415
159915.SZ,20111221,0.78,0.786,0.791,0.766,0.766,-0.014,-1.7949,485425.46,37964.7903
159915.SZ,20111222,0.766,0.756,0.768,0.73,0.757,-0.009,-1.1749,709384.09,53194.489
159915.SZ,20111223,0.757,0.75,0.773,0.749,0.761,0.004,0.5284,1013603.17,77374.0547
159915.SZ,20111226,0.761,0.759,0.773,0.751,0.755,-0.006,-0.7884,456854.75,34883.8359
159915.SZ,20111227,0.755,0.75,0.754,0.727,0.729,-0.026,-3.4437,1099159.71,81111.9219
159915.SZ,20111228,0.729,0.72,0.724,0.703,0.719,-0.01,-1.3717,1157038.77,82723.7089
159915.SZ,20111229,0.719,0.713,0.726,0.711,0.718,-0.001,-0.1391,339720.47,24384.4699
159915.SZ,20111230,0.718,0.723,0.732,0.722,0.729,0.011,1.532,772575.22,56350.4103
159915.SZ,20120104,0.729,0.735,0.739,0.708,0.708,-0.021,-2.8807,360493.53,26238.6066
159915.SZ,20120105,0.708,0.705,0.705,0.666,0.672,-0.036,-5.0847,663822.16,45442.4602
159915.SZ,20120106,0.672,0.668,0.676,0.647,0.67,-0.002,-0.2976,1387940.86,91888.7868
159915.SZ,20120109,0.67,0.667,0.698,0.658,0.696,0.026,3.8806,1778470.65,121144.4051
159915.SZ,20120110,0.696,0.696,0.722,0.691,0.72,0.024,3.4483,755561.35,53514.9333
159915.SZ,20120111,0.72,0.717,0.731,0.711,0.723,0.003,0.4167,1259413.78,90911.698
