ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
512010.SH,20131028,0.977,0.97,0.97,0.958,0.959,-0.018,-1.8424,683645.17,65851.367
512010.SH,20131029,0.959,0.957,0.97,0.93,0.95,-0.009,-0.9385,321852.88,30592.172
512010.SH,20131030,0.95,0.95,0.965,0.95,0.962,0.012,1.2632,188323.08,18076.924
512010.SH,20131031,0.962,0.962,0.962,0.939,0.943,-0.019,-1.9751,48462.17,4567.699
512010.SH,20131101,0.943,0.94,0.958,0.94,0.954,0.011,1.1665,69316.01,6565.737
512010.SH,20131104,0.954,0.954,0.954,0.935,0.935,-0.019,-1.9916,99348.53,9375.539
512010.SH,20131105,0.935,0.926,0.94,0.923,0.939,0.004,0.4278,133686.0,12467.713
512010.SH,20131106,0.939,0.935,0.935,0.923,0.925,-0.014,-1.4909,61142.88,5692.668
512010.SH,20131107,0.925,0.92,0.92,0.901,0.906,-0.019,-2.0541,81811.0,7435.291
512010.SH,20131108,0.906,0.9,0.906,0.891,0.892,-0.014,-1.5453,59876.0,5374.702
512010.SH,20131111,0.892,0.841,0.92,0.84,0.918,0.026,2.9148,67117.04,6068.211
512010.SH,20131112,0.918,0.918,0.936,0.918,0.93,0.012,1.3072,73821.04,6839.347
512010.SH,20131113,0.93,0.93,0.93,0.913,0.917,-0.013,-1.3978,29643.0,2720.743
512010.SH,20131114,0.917,0.917,0.94,0.917,0.929,0.012,1.3086,48820.0,4531.374
512010.SH,20131115,0.929,0.93,0.947,0.93,0.936,0.007,0.7535,63717.0,5992.763
512010.SH,20131118,0.936,0.937,0.946,0.935,0.941,0.005,0.5342,47067.99,4420.111
512010.SH,20131119,0.941,0.94,0.941,0.934,0.935,-0.006,-0.6376,15831.81,1483.808
512010.SH,20131120,0.935,0.94,0.945,0.932,0.94,0.005,0.5348,13284.0,1244.515
512010.SH,20131121,0.94,0.932,0.941,0.93,0.938,-0.002,-0.2128,24859.71,2327.933
512010.SH,20131122,0.938,0.941,0.941,0.929,0.932,-0.006,-0.6397,30279.71,2822.335
512010.SH,20131125,0.932,0.927,0.937,0.927,0.934,0.002,0.2146,25072.71,2339.807
512010.SH,20131126,0.934,0.933,0.939,0.93,0.933,-0.001,-0.1071,36312.0,3388.222
512010.SH,20131127,0.933,0.935,0.943,0.93,0.94,0.007,0.7503,44435.97,4170.312
512010.SH,20131128,0.94,0.938,0.951,0.938,0.948,0.008,0.8511,57627.15,5450.606
512010.SH,20131129,0.948,0.942,0.96,0.942,0.951,0.003,0.3165,81095.24,7697.962
512010.SH,20131202,0.951,0.945,0.951,0.926,0.927,-0.024,-2.5237,51396.0,4798.565
512010.SH,20131203,0.927,0.927,0.954,0.927,0.949,0.022,2.3732,37568.94,3539.697
512010.SH,20131204,0.949,0.951,0.967,0.949,0.961,0.012,1.2645,62465.92,6003.369
512010.SH,20131205,0.961,0.962,0.965,0.955,0.965,0.004,0.4162,22003.74,2112.855
512010.SH,20131206,0.965,0.958,0.969,0.958,0.963,-0.002,-0.2073,23659.0,2283.332
512010.SH,20131209,0.963,0.966,0.97,0.956,0.959,-0.004,-0.4154,15651.14,1504.568
512010.SH,20131210,0.959,0.96,0.96,0.948,0.95,-0.009,-0.9385,23222.0,2206.666
512010.SH,20131211,0.95,0.946,0.947,0.94,0.944,-0.006,-0.6316,16857.0,1588.91
512010.SH,20131212,0.944,0.946,0.957,0.943,0.955,0.011,1.1653,9564.6,909.556
512010.SH,20131213,0.955,0.942,0.957,0.942,0.951,-0.004,-0.4188,22952.0,2183.381
512010.SH,20131216,0.951,0.95,0.955,0.94,0.941,-0.01,-1.0515,26337.0,2492.258
512010.SH,20131217,0.941,0.937,0.946,0.936,0.943,0.002,0.2125,29474.28,2773.592
512010.SH,20131218,0.943,0.943,0.951,0.942,0.948,0.005,0.5302,14371.0,1360.902
512010.SH,20131219,0.948,0.949,0.949,0.937,0.937,-0.011,-1.1603,54436.37,5118.699
512010.SH,20131220,0.937,0.937,0.941,0.923,0.926,-0.011,-1.174,40215.9,3762.015
512010.SH,20131223,0.926,0.938,0.955,0.928,0.953,0.027,2.9158,27708.0,2630.783
512010.SH,20131224,0.953,0.957,0.957,0.943,0.951,-0.002,-0.2099,11741.0,1117.307
512010.SH,20131225,0.951,0.946,0.953,0.945,0.948,-0.003,-0.3155,16165.0,1534.194
512010.SH,20131226,0.948,0.947,0.953,0.945,0.947,-0.001,-0.1055,38513.0,3651.662
512010.SH,20131227,0.947,0.95,0.955,0.945,0.95,0.003,0.3168,12171.07,1156.285
512010.SH,20131230,0.95,0.947,0.955,0.947,0.947,-0.003,-0.3158,30442.0,2890.245
512010.SH,20131231,0.947,0.952,0.962,0.951,0.956,0.009,0.9504,25733.96,2462.969
512010.SH,20140102,0.956,0.958,0.981,0.953,0.977,0.021,2.1967,99366.79,9656.554
512010.SH,20140103,0.977,0.974,0.98,0.966,0.969,-0.008,-0.8188,22182.0,2152.496
512010.SH,20140106,0.969,0.961,0.961,0.946,0.947,-0.022,-2.2704,11178.0,1063.967
512010.SH,20140107,0.947,0.947,0.958,0.943,0.953,0.006,0.6336,32128.0,3058.235
512010.SH,20140108,0.953,0.953,0.963,0.953,0.961,0.008,0.8395,25466.0,2443.828
512010.SH,20140109,0.961,0.955,0.968,0.953,0.956,-0.005,-0.5203,22347.0,2152.945
512010.SH,20140110,0.956,0.952,0.956,0.935,0.935,-0.021,-2.1967,14910.0,1410.805
512010.SH,20140113,0.935,0.938,0.941,0.925,0.928,-0.007,-0.7487,6834.0,636.814
512010.SH,20140114,0.928,0.927,0.937,0.92,0.933,0.005,0.5388,22920.0,2126.202
512010.SH,20140115,0.933,0.939,0.945,0.936,0.945,0.012,1.2862,15891.01,1490.733
512010.SH,20140116,0.945,0.943,0.945,0.937,0.94,-0.005,-0.5291,6478.0,608.886
512010.SH,20140117,0.94,0.935,0.937,0.923,0.923,-0.017,-1.8085,7967.01,738.503
512010.SH,20140120,0.923,0.92,0.921,0.901,0.907,-0.016,-1.7335,11843.0,1078.651
512010.SH,20140121,0.907,0.916,0.918,0.913,0.914,0.007,0.7718,5476.34,500.423
512010.SH,20140122,0.914,0.914,0.93,0.914,0.93,0.016,1.7505,13267.0,1224.219
512010.SH,20140123,0.93,0.932,0.933,0.924,0.93,0.0,0.0,14385.0,1337.013
512010.SH,20140124,0.93,0.93,0.934,0.925,0.933,0.003,0.3226,7935.0,738.092
512010.SH,20140127,0.933,0.935,0.938,0.916,0.916,-0.017,-1.8221,24109.0,2215.07
512010.SH,20140128,0.916,0.919,0.924,0.913,0.92,0.004,0.4367,43678.0,4002.55
512010.SH,20140129,0.92,0.925,0.925,0.919,0.923,0.003,0.3261,10061.0,925.956
512010.SH,20140130,0.923,0.922,0.922,0.918,0.918,-0.005,-0.5417,3880.0,356.413
512010.SH,20140207,0.918,0.917,0.917,0.911,0.913,-0.005,-0.5447,5100.0,465.25
512010.SH,20140210,0.913,0.913,0.944,0.913,0.943,0.03,3.2859,20070.0,1872.755
512010.SH,20140211,0.943,0.943,0.959,0.943,0.949,0.006,0.6363,62378.0,5934.638
512010.SH,20140212,0.949,0.95,0.952,0.944,0.952,0.003,0.3161,32567.25,3092.2
512010.SH,20140213,0.952,0.95,0.955,0.932,0.935,-0.017,-1.7857,9950.0,936.611
512010.SH,20140214,0.935,0.935,0.948,0.935,0.947,0.012,1.2834,12818.99,1209.73
512010.SH,20140217,0.947,0.953,0.954,0.946,0.954,0.007,0.7392,40769.75,3878.991
512010.SH,20140218,0.954,0.951,0.958,0.95,0.952,-0.002,-0.2096,51566.98,4917.858
512010.SH,20140219,0.952,0.953,0.968,0.95,0.963,0.011,1.1555,59766.98,5751.783
512010.SH,20140220,0.963,0.964,0.966,0.953,0.954,-0.009,-0.9346,58442.19,5612.62
512010.SH,20140221,0.954,0.96,0.961,0.947,0.95,-0.004,-0.4193,23088.8,2207.288
512010.SH,20140224,0.95,0.945,0.957,0.936,0.951,0.001,0.1053,49786.0,4712.017
512010.SH,20140225,0.951,0.951,0.963,0.925,0.926,-0.025,-2.6288,55596.0,5319.556
512010.SH,20140226,0.926,0.925,0.932,0.914,0.931,0.005,0.54,23524.61,2173.09
512010.SH,20140227,0.931,0.929,0.936,0.901,0.903,-0.028,-3.0075,23618.0,2154.474
512010.SH,20140228,0.903,0.925,0.925,0.895,0.907,0.004,0.443,20677.0,1863.241
512010.SH,20140303,0.907,0.908,0.912,0.907,0.912,0.005,0.5513,4819.0,438.653
512010.SH,20140304,0.912,0.909,0.909,0.894,0.907,-0.005,-0.5482,11279.0,1015.456
512010.SH,20140305,0.907,0.906,0.906,0.893,0.896,-0.011,-1.2128,7509.0,674.079
512010.SH,20140306,0.896,0.89,0.89,0.876,0.889,-0.007,-0.7813,18754.0,1658.791
512010.SH,20140307,0.889,0.888,0.902,0.883,0.9,0.011,1.2373,10368.01,929.608
512010.SH,20140310,0.9,0.897,0.897,0.88,0.881,-0.019,-2.1111,12126.01,1072.16
512010.SH,20140311,0.881,0.878,0.893,0.878,0.889,0.008,0.9081,5967.46,528.479
512010.SH,20140312,0.889,0.895,0.9,0.885,0.892,0.003,0.3375,15253.0,1359.529
512010.SH,20140313,0.892,0.89,0.904,0.89,0.901,0.009,1.009,13375.0,1202.734
512010.SH,20140314,0.901,0.899,0.901,0.887,0.897,-0.004,-0.444,13679.0,1222.962
512010.SH,20140317,0.897,0.897,0.904,0.897,0.904,0.007,0.7804,6539.0,589.379
512010.SH,20140318,0.904,0.905,0.911,0.904,0.908,0.004,0.4425,12270.0,1115.012
512010.SH,20140319,0.908,0.908,0.908,0.892,0.896,-0.012,-1.3216,2104.0,188.433
512010.SH,20140320,0.896,0.895,0.895,0.871,0.872,-0.024,-2.6786,9524.0,841.941
512010.SH,20140321,0.872,0.87,0.885,0.86,0.885,0.013,1.4908,10494.0,916.456
512010.SH,20140324,0.885,0.897,0.917,0.871,0.88,-0.005,-0.565,6835.0,603.837
512010.SH,20140325,0.88,0.873,0.88,0.873,0.875,-0.005,-0.5682,2292.0,201.269
512010.SH,20140326,0.875,0.88,0.897,0.88,0.891,0.016,1.8286,13244.0,1183.884
512010.SH,20140327,0.891,0.885,0.888,0.877,0.878,-0.013,-1.459,6890.0,606.534
512010.SH,20140328,0.878,0.88,0.88,0.861,0.862,-0.016,-1.8223,8343.99,722.23
