ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
515700.SH,20200210,1.102,1.102,1.212,1.101,1.157,0.055,4.9909,5755727.0,652073.371
515700.SH,20200211,1.157,1.195,1.195,1.131,1.144,-0.013,-1.1236,7049491.0,807926.136
515700.SH,20200212,1.144,1.14,1.192,1.126,1.19,0.046,4.021,7569662.0,887147.695
515700.SH,20200213,1.19,1.191,1.204,1.173,1.178,-0.012,-1.0084,8774219.0,1041744.154
515700.SH,20200214,1.178,1.189,1.192,1.155,1.166,-0.012,-1.0187,8147534.0,957175.96
515700.SH,20200217,1.166,1.169,1.217,1.168,1.215,0.049,4.2024,7091479.0,843491.491
515700.SH,20200218,1.215,1.214,1.226,1.195,1.219,0.004,0.3292,7186142.0,871120.573
515700.SH,20200219,1.219,1.246,1.269,1.186,1.189,-0.03,-2.461,15690474.0,1890744.137
515700.SH,20200220,1.189,1.196,1.214,1.19,1.211,0.022,1.8503,8626276.0,1038776.403
515700.SH,20200221,1.211,1.204,1.23,1.201,1.225,0.014,1.1561,7983069.0,971678.644
515700.SH,20200224,1.225,1.22,1.22,1.188,1.213,-0.012,-0.9796,10911591.0,1314113.343
515700.SH,20200225,1.213,1.191,1.27,1.18,1.263,0.05,4.122,14585645.0,1785851.767
515700.SH,20200226,1.263,1.246,1.25,1.193,1.2,-0.063,-4.9881,16140266.81,1977142.751
515700.SH,20200227,1.2,1.21,1.215,1.181,1.185,-0.015,-1.25,10312864.0,1230333.01
515700.SH,20200228,1.185,1.135,1.149,1.094,1.103,-0.082,-6.9198,15191115.0,1706002.616
515700.SH,20200302,1.103,1.114,1.138,1.1,1.131,0.028,2.5385,8904266.0,998502.115
515700.SH,20200303,1.131,1.159,1.18,1.141,1.154,0.023,2.0336,10170432.19,1184845.999
515700.SH,20200304,1.154,1.14,1.155,1.122,1.149,-0.005,-0.4333,5283206.19,602889.098
515700.SH,20200305,1.149,1.159,1.167,1.137,1.151,0.002,0.1741,4937110.0,567168.951
515700.SH,20200306,1.151,1.135,1.16,1.13,1.144,-0.007,-0.6082,4512247.07,517865.849
515700.SH,20200309,1.144,1.124,1.126,1.074,1.077,-0.067,-5.8566,8156952.0,896032.352
515700.SH,20200310,1.077,1.06,1.114,1.055,1.113,0.036,3.3426,6376614.93,693762.065
515700.SH,20200311,1.113,1.119,1.123,1.092,1.093,-0.02,-1.7969,4553362.0,505651.959
515700.SH,20200312,1.093,1.065,1.076,1.051,1.066,-0.027,-2.4703,4993069.0,530848.266
515700.SH,20200313,1.066,1.01,1.06,1.001,1.05,-0.016,-1.5009,4777610.93,491843.818
515700.SH,20200316,1.05,1.046,1.05,0.97,0.972,-0.078,-7.4286,6032844.93,607220.205
