ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
513100.SH,20130515,1.001,0.99,0.999,0.989,0.997,-0.004,-0.3996,877116.2,87379.278
513100.SH,20130516,0.997,0.997,0.999,0.994,0.999,0.002,0.2006,265570.2,26501.42
513100.SH,20130517,0.999,0.999,1.0,0.996,0.997,-0.002,-0.2002,36379.0,3630.062
513100.SH,20130520,0.997,1.002,1.004,0.996,0.997,0.0,0.0,80490.17,8033.039
513100.SH,20130521,0.997,0.997,0.998,0.994,0.997,0.0,0.0,161123.91,16023.195
513100.SH,20130522,0.997,0.998,1.001,0.998,0.999,0.002,0.2006,46257.0,4622.031
513100.SH,20130523,0.999,0.996,0.996,0.989,0.991,-0.008,-0.8008,21817.0,2160.731
513100.SH,20130524,0.991,0.992,0.995,0.991,0.994,0.003,0.3027,16604.0,1647.992
513100.SH,20130527,0.994,0.995,0.995,0.991,0.995,0.001,0.1006,6492.78,645.097
513100.SH,20130528,0.995,0.996,0.996,0.991,0.992,-0.003,-0.3015,54124.78,5375.504
513100.SH,20130529,0.992,0.994,0.997,0.991,0.996,0.004,0.4032,26639.0,2647.352
513100.SH,20130530,0.996,0.992,0.993,0.991,0.992,-0.004,-0.4016,6701.0,664.511
513100.SH,20130531,0.992,0.992,0.998,0.992,0.998,0.006,0.6048,10308.0,1026.402
513100.SH,20130603,0.998,0.995,0.995,0.989,0.99,-0.008,-0.8016,9492.0,939.507
513100.SH,20130604,0.99,0.992,0.994,0.991,0.993,0.003,0.303,27615.78,2740.707
513100.SH,20130605,0.993,0.993,0.993,0.987,0.989,-0.004,-0.4028,4503.0,445.24
513100.SH,20130606,0.989,0.985,0.985,0.97,0.973,-0.016,-1.6178,50635.0,4922.812
513100.SH,20130607,0.973,0.978,0.98,0.971,0.973,0.0,0.0,26352.21,2566.606
513100.SH,20130613,0.973,0.962,0.972,0.962,0.966,-0.007,-0.7194,15230.2,1472.109
513100.SH,20130614,0.966,0.977,0.979,0.975,0.979,0.013,1.3458,29617.77,2892.363
513100.SH,20130617,0.979,0.975,0.976,0.973,0.976,-0.003,-0.3064,3863.0,376.773
513100.SH,20130618,0.976,0.981,0.985,0.981,0.984,0.008,0.8197,6568.79,646.251
513100.SH,20130619,0.984,0.994,0.999,0.992,0.998,0.014,1.4228,29003.77,2887.213
513100.SH,20130620,0.998,0.985,0.985,0.93,0.981,-0.017,-1.7034,33926.0,3299.454
513100.SH,20130621,0.981,0.95,0.96,0.947,0.96,-0.021,-2.1407,40060.94,3821.737
513100.SH,20130624,0.96,0.96,0.96,0.951,0.952,-0.008,-0.8333,8423.99,801.933
513100.SH,20130625,0.952,0.952,0.952,0.942,0.947,-0.005,-0.5252,11993.99,1133.144
513100.SH,20130626,0.947,0.95,0.96,0.941,0.946,-0.001,-0.1056,21788.01,2062.152
513100.SH,20130627,0.946,0.96,0.96,0.954,0.957,0.011,1.1628,13522.5,1293.459
513100.SH,20130628,0.957,0.961,0.965,0.961,0.963,0.006,0.627,17638.82,1699.745
513100.SH,20130701,0.963,0.963,0.965,0.96,0.965,0.002,0.2077,5940.66,572.263
513100.SH,20130702,0.965,0.974,0.974,0.968,0.972,0.007,0.7254,17769.71,1725.76
513100.SH,20130703,0.972,0.972,0.973,0.97,0.973,0.001,0.1029,9453.61,918.041
513100.SH,20130704,0.973,0.973,0.978,0.973,0.978,0.005,0.5139,7937.03,774.942
513100.SH,20130705,0.978,0.986,0.989,0.976,0.989,0.011,1.1247,16698.7,1642.111
