ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
512760.SH,20190612,1.029,1.013,1.045,1.013,1.033,0.004,0.3887,1080141.0,110629.767
512760.SH,20190613,1.033,1.033,1.039,1.017,1.023,-0.01,-0.9681,300887.0,30878.815
512760.SH,20190614,1.023,1.027,1.027,0.986,0.989,-0.034,-3.3236,271986.0,27329.852
512760.SH,20190617,0.989,0.994,0.994,0.97,0.978,-0.011,-1.1122,145766.0,14265.379
512760.SH,20190618,0.978,0.972,0.98,0.966,0.969,-0.009,-0.9202,361049.0,35058.369
512760.SH,20190619,0.969,0.992,1.02,0.992,1.006,0.037,3.8184,453041.0,45707.765
512760.SH,20190620,1.006,1.001,1.025,0.997,1.019,0.013,1.2922,332120.0,33603.773
512760.SH,20190621,1.019,1.019,1.05,1.019,1.037,0.018,1.7664,399042.0,41534.584
512760.SH,20190624,1.037,1.032,1.044,1.027,1.037,0.0,0.0,262649.0,27134.668
512760.SH,20190625,1.037,1.034,1.034,1.009,1.02,-0.017,-1.6393,226092.0,23081.51
512760.SH,20190626,1.02,1.015,1.034,1.011,1.027,0.007,0.6863,234786.0,24090.27
512760.SH,20190627,1.027,1.033,1.062,1.031,1.053,0.026,2.5316,485366.0,50875.909
512760.SH,20190628,1.053,1.053,1.054,1.023,1.033,-0.02,-1.8993,266981.0,27630.221
512760.SH,20190701,1.033,1.06,1.078,1.053,1.078,0.045,4.3562,459932.0,49156.005
512760.SH,20190702,1.078,1.076,1.08,1.057,1.06,-0.018,-1.6698,326845.9,34912.563
512760.SH,20190703,1.06,1.055,1.059,1.039,1.045,-0.015,-1.4151,295120.0,30904.541
512760.SH,20190704,1.045,1.046,1.052,1.026,1.033,-0.012,-1.1483,287130.0,29742.331
512760.SH,20190705,1.033,1.03,1.045,1.03,1.044,0.011,1.0649,285845.0,29711.35
512760.SH,20190708,1.044,1.044,1.044,0.995,0.998,-0.046,-4.4061,473226.0,47703.006
512760.SH,20190709,0.998,0.997,1.009,0.991,1.005,0.007,0.7014,276610.0,27702.82
512760.SH,20190710,1.005,1.004,1.023,1.004,1.017,0.012,1.194,346649.0,35203.492
512760.SH,20190711,1.017,1.022,1.022,0.996,1.005,-0.012,-1.1799,266907.0,26961.006
512760.SH,20190712,1.005,1.005,1.011,0.994,1.007,0.002,0.199,259337.0,26067.501
512760.SH,20190715,1.007,1.0,1.036,0.992,1.032,0.025,2.4826,498199.0,50581.455
512760.SH,20190716,1.032,1.02,1.044,1.02,1.037,0.005,0.4845,271343.0,28113.682
512760.SH,20190717,1.037,1.037,1.073,1.035,1.061,0.024,2.3144,503496.0,53547.237
512760.SH,20190718,1.061,1.05,1.055,1.037,1.041,-0.02,-1.885,490285.0,51115.604
512760.SH,20190719,1.041,1.043,1.05,1.041,1.049,0.008,0.7685,566600.0,59298.055
512760.SH,20190722,1.049,1.06,1.07,1.008,1.034,-0.015,-1.4299,2515935.0,259795.655
512760.SH,20190723,1.034,1.036,1.069,1.032,1.065,0.031,2.9981,1144194.0,120630.243
512760.SH,20190724,1.065,1.071,1.098,1.068,1.094,0.029,2.723,875737.0,95565.924
512760.SH,20190725,1.094,1.097,1.123,1.095,1.113,0.019,1.7367,702588.0,78063.032
512760.SH,20190726,1.113,1.115,1.116,1.098,1.11,-0.003,-0.2695,524670.0,58102.094
512760.SH,20190729,1.11,1.113,1.131,1.11,1.123,0.013,1.1712,666085.0,74732.286
512760.SH,20190730,1.123,1.122,1.13,1.108,1.111,-0.012,-1.0686,458434.0,51180.415
512760.SH,20190731,1.111,1.109,1.126,1.108,1.118,0.007,0.6301,846857.0,94911.853
512760.SH,20190801,1.118,1.108,1.121,1.101,1.112,-0.006,-0.5367,623785.0,69317.904
512760.SH,20190802,1.112,1.089,1.108,1.079,1.1,-0.012,-1.0791,838585.0,91911.916
512760.SH,20190805,1.1,1.093,1.116,1.082,1.085,-0.015,-1.3636,651186.0,71600.346
512760.SH,20190806,1.085,1.054,1.061,1.023,1.057,-0.028,-2.5806,1006557.0,105326.178
512760.SH,20190807,1.057,1.061,1.064,1.032,1.034,-0.023,-2.176,573431.0,60085.085
512760.SH,20190808,1.034,1.045,1.07,1.039,1.068,0.034,3.2882,1710178.0,179713.448
512760.SH,20190809,1.068,1.072,1.083,1.045,1.048,-0.02,-1.8727,783774.0,83380.095
512760.SH,20190812,1.048,1.058,1.097,1.048,1.095,0.047,4.4847,1216932.0,130055.168
512760.SH,20190813,1.095,1.083,1.092,1.075,1.086,-0.009,-0.8219,725395.0,78651.131
512760.SH,20190814,1.086,1.105,1.124,1.091,1.092,0.006,0.5525,761313.0,84523.693
512760.SH,20190815,1.092,1.062,1.114,1.057,1.114,0.022,2.0147,1333503.0,145013.048
512760.SH,20190816,1.114,1.105,1.133,1.105,1.121,0.007,0.6284,693822.0,77607.492
512760.SH,20190819,1.121,1.141,1.181,1.131,1.18,0.059,5.2632,867634.0,100718.033
512760.SH,20190820,1.18,1.187,1.187,1.167,1.174,-0.006,-0.5085,925609.0,108864.406
512760.SH,20190821,1.174,1.167,1.198,1.165,1.187,0.013,1.1073,773813.0,91470.826
512760.SH,20190822,1.187,1.187,1.196,1.168,1.183,-0.004,-0.337,540583.0,63936.978
512760.SH,20190823,1.183,1.177,1.187,1.16,1.171,-0.012,-1.0144,773339.0,90457.708
512760.SH,20190826,1.171,1.153,1.176,1.145,1.172,0.001,0.0854,881331.0,102615.871
512760.SH,20190827,1.172,1.177,1.214,1.177,1.199,0.027,2.3038,883969.0,106049.892
512760.SH,20190828,1.199,1.202,1.204,1.186,1.194,-0.005,-0.417,519540.0,62020.784
512760.SH,20190829,1.194,1.193,1.216,1.189,1.212,0.018,1.5075,576182.0,69433.762
512760.SH,20190830,1.212,1.222,1.248,1.202,1.215,0.003,0.2475,1145505.0,140804.011
512760.SH,20190902,1.215,1.215,1.269,1.206,1.264,0.049,4.0329,1135065.9,140717.275
512760.SH,20190903,1.264,1.271,1.303,1.261,1.297,0.033,2.6108,1339191.9,171798.056
512760.SH,20190904,1.297,1.302,1.326,1.292,1.321,0.024,1.8504,1511395.0,198061.122
512760.SH,20190905,1.321,1.337,1.362,1.313,1.325,0.004,0.3028,1376504.0,183721.581
512760.SH,20190906,1.325,1.33,1.343,1.3,1.323,-0.002,-0.1509,1380314.2,182474.322
512760.SH,20190909,1.323,1.342,1.403,1.335,1.4,0.077,5.8201,1891132.0,258044.3
512760.SH,20190910,1.4,1.415,1.417,1.349,1.367,-0.033,-2.3571,1947689.0,267581.731
512760.SH,20190911,1.367,1.372,1.385,1.346,1.357,-0.01,-0.7315,1594162.0,217466.849
512760.SH,20190912,1.357,1.362,1.38,1.355,1.364,0.007,0.5158,1196250.0,163516.421
