ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
512720.SH,20190816,0.976,0.972,0.998,0.971,0.988,0.012,1.2295,391518.65,38550.783
512720.SH,20190819,0.988,1.002,1.04,1.001,1.038,0.05,5.0607,1815656.21,186008.924
512720.SH,20190820,1.038,1.042,1.055,1.032,1.034,-0.004,-0.3854,944236.5,98394.199
512720.SH,20190821,1.034,1.035,1.046,1.03,1.039,0.005,0.4836,762038.4,79178.221
512720.SH,20190822,1.039,1.04,1.045,1.029,1.04,0.001,0.0962,544161.38,56630.515
512720.SH,20190823,1.04,1.042,1.055,1.035,1.04,0.0,0.0,777146.67,81232.271
512720.SH,20190826,1.04,1.026,1.031,1.017,1.023,-0.017,-1.6346,586205.89,60041.344
512720.SH,20190827,1.023,1.03,1.07,1.03,1.057,0.034,3.3236,908291.46,95389.109
512720.SH,20190828,1.057,1.057,1.064,1.047,1.057,0.0,0.0,343337.43,36199.843
512720.SH,20190829,1.057,1.057,1.078,1.05,1.067,0.01,0.9461,476673.77,50792.291
512720.SH,20190830,1.067,1.073,1.088,1.045,1.05,-0.017,-1.5933,579732.2,61992.399
512720.SH,20190902,1.05,1.051,1.1,1.051,1.099,0.049,4.6667,652268.88,70498.095
512720.SH,20190903,1.099,1.1,1.114,1.089,1.109,0.01,0.9099,741699.43,81743.702
512720.SH,20190904,1.109,1.102,1.121,1.101,1.119,0.01,0.9017,448049.0,49808.825
512720.SH,20190905,1.119,1.131,1.174,1.131,1.146,0.027,2.4129,627190.36,72382.214
512720.SH,20190906,1.146,1.148,1.168,1.137,1.165,0.019,1.6579,711900.0,82387.304
512720.SH,20190909,1.165,1.175,1.205,1.164,1.204,0.039,3.3476,823062.5,97323.365
512720.SH,20190910,1.204,1.21,1.21,1.173,1.189,-0.015,-1.2458,781137.0,93054.219
512720.SH,20190911,1.189,1.197,1.199,1.165,1.167,-0.022,-1.8503,454730.0,53451.087
512720.SH,20190912,1.167,1.17,1.18,1.164,1.179,0.012,1.0283,260527.55,30571.593
512720.SH,20190916,1.179,1.18,1.199,1.179,1.186,0.007,0.5937,510017.0,60740.011
512720.SH,20190917,1.186,1.186,1.186,1.139,1.153,-0.033,-2.7825,710218.79,82004.696
512720.SH,20190918,1.153,1.154,1.158,1.135,1.145,-0.008,-0.6938,818932.0,93811.528
512720.SH,20190919,1.145,1.144,1.165,1.142,1.164,0.019,1.6594,400962.0,46177.87
512720.SH,20190920,1.164,1.169,1.28,1.162,1.168,0.004,0.3436,413231.0,48403.522
512720.SH,20190923,1.168,1.163,1.164,1.146,1.162,-0.006,-0.5137,328075.0,37856.043
512720.SH,20190924,1.162,1.162,1.186,1.156,1.173,0.011,0.9466,458763.0,53840.524
512720.SH,20190925,1.173,1.164,1.165,1.136,1.14,-0.033,-2.8133,487473.0,55878.744
512720.SH,20190926,1.14,1.14,1.147,1.09,1.09,-0.05,-4.386,507452.24,56360.527
512720.SH,20190927,1.09,1.09,1.116,1.09,1.112,0.022,2.0183,449773.0,49957.267
512720.SH,20190930,1.112,1.118,1.118,1.085,1.089,-0.023,-2.0683,368118.0,40389.554
512720.SH,20191008,1.089,1.092,1.102,1.075,1.076,-0.013,-1.1938,227012.0,24723.539
512720.SH,20191009,1.076,1.071,1.089,1.064,1.086,0.01,0.9294,446498.0,48315.441
512720.SH,20191010,1.086,1.085,1.108,1.081,1.103,0.017,1.5654,415522.0,45494.454
512720.SH,20191011,1.103,1.1,1.113,1.087,1.103,0.0,0.0,354279.0,38991.372
512720.SH,20191014,1.103,1.112,1.129,1.11,1.128,0.025,2.2665,346505.0,38923.065
512720.SH,20191015,1.128,1.122,1.122,1.091,1.093,-0.035,-3.1028,354133.0,38923.139
512720.SH,20191016,1.093,1.094,1.111,1.09,1.094,0.001,0.0915,277767.0,30556.799
512720.SH,20191017,1.094,1.091,1.105,1.091,1.098,0.004,0.3656,261809.0,28763.327
512720.SH,20191018,1.098,1.102,1.105,1.075,1.076,-0.022,-2.0036,356983.0,38954.522
512720.SH,20191021,1.076,1.07,1.086,1.06,1.084,0.008,0.7435,604511.0,65040.931
512720.SH,20191022,1.084,1.084,1.106,1.082,1.104,0.02,1.845,383734.0,41991.805
512720.SH,20191023,1.104,1.103,1.105,1.087,1.092,-0.012,-1.087,295634.0,32438.244
512720.SH,20191024,1.092,1.089,1.092,1.074,1.09,-0.002,-0.1832,303932.0,32978.903
512720.SH,20191025,1.09,1.089,1.1,1.075,1.094,0.004,0.367,331670.0,36004.274
512720.SH,20191028,1.094,1.203,1.203,1.152,1.188,0.094,8.5923,2706968.0,319969.674
512720.SH,20191029,1.188,1.185,1.185,1.122,1.125,-0.063,-5.303,1765833.0,203412.717
512720.SH,20191030,1.125,1.12,1.125,1.101,1.111,-0.014,-1.2444,839388.0,93414.016
512720.SH,20191031,1.111,1.105,1.118,1.09,1.093,-0.018,-1.6202,707718.0,77901.026
512720.SH,20191101,1.093,1.089,1.108,1.082,1.104,0.011,1.0064,681267.0,74883.632
512720.SH,20191104,1.104,1.108,1.129,1.104,1.111,0.007,0.6341,726213.0,81245.909
512720.SH,20191105,1.111,1.113,1.127,1.109,1.122,0.011,0.9901,440591.0,49295.606
512720.SH,20191106,1.122,1.12,1.123,1.101,1.106,-0.016,-1.426,455082.0,50548.748
512720.SH,20191107,1.106,1.106,1.121,1.104,1.118,0.012,1.085,409951.0,45745.197
512720.SH,20191108,1.118,1.126,1.137,1.118,1.122,0.004,0.3578,563815.0,63636.055
512720.SH,20191111,1.122,1.111,1.113,1.093,1.097,-0.025,-2.2282,484920.0,53486.98
512720.SH,20191112,1.097,1.095,1.099,1.075,1.091,-0.006,-0.5469,463195.0,50285.084
512720.SH,20191113,1.091,1.089,1.094,1.083,1.092,0.001,0.0917,383274.0,41794.205
512720.SH,20191114,1.092,1.087,1.108,1.085,1.102,0.01,0.9158,420609.0,46213.177
512720.SH,20191115,1.102,1.101,1.114,1.096,1.097,-0.005,-0.4537,562504.0,62170.015
512720.SH,20191118,1.097,1.095,1.111,1.091,1.106,0.009,0.8204,464659.0,51288.302
512720.SH,20191119,1.106,1.106,1.133,1.105,1.132,0.026,2.3508,596515.0,66924.562
512720.SH,20191120,1.132,1.129,1.147,1.123,1.128,-0.004,-0.3534,598259.0,68020.646
512720.SH,20191121,1.128,1.121,1.132,1.114,1.13,0.002,0.1773,329160.0,36975.965
512720.SH,20191122,1.13,1.13,1.138,1.097,1.103,-0.027,-2.3894,482558.0,53776.071
512720.SH,20191125,1.103,1.102,1.102,1.071,1.073,-0.03,-2.7199,476831.0,51367.562
512720.SH,20191126,1.073,1.075,1.086,1.07,1.074,0.001,0.0932,324446.0,34915.723
512720.SH,20191127,1.074,1.071,1.084,1.069,1.078,0.004,0.3724,408296.0,44007.757
512720.SH,20191128,1.078,1.078,1.082,1.068,1.071,-0.007,-0.6494,427819.0,45950.398
512720.SH,20191129,1.071,1.071,1.079,1.065,1.076,0.005,0.4669,332137.0,35585.023
