ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
512880.SH,20160808,1.0,0.995,1.006,0.988,1.004,0.004,0.4,1534921.08,153164.739
512880.SH,20160809,1.004,1.002,1.016,1.002,1.012,0.008,0.7968,456560.67,46082.947
512880.SH,20160810,1.012,1.013,1.021,1.008,1.01,-0.002,-0.1976,295433.68,29975.006
512880.SH,20160811,1.01,1.01,1.029,1.009,1.014,0.004,0.396,370196.24,37790.066
512880.SH,20160812,1.014,1.013,1.041,1.009,1.037,0.023,2.2682,364989.55,37355.02
512880.SH,20160815,1.037,1.044,1.132,1.04,1.097,0.06,5.7859,1084278.01,117707.931
512880.SH,20160816,1.097,1.1,1.102,1.084,1.086,-0.011,-1.0027,620837.6,67776.092
512880.SH,20160817,1.086,1.095,1.106,1.072,1.08,-0.006,-0.5525,402601.9,43826.593
512880.SH,20160818,1.08,1.071,1.085,1.062,1.068,-0.012,-1.1111,455972.35,48873.984
512880.SH,20160819,1.068,1.068,1.073,1.06,1.068,0.0,0.0,363013.12,38746.37
512880.SH,20160822,1.068,1.071,1.071,1.044,1.045,-0.023,-2.1536,346058.4,36569.456
512880.SH,20160823,1.045,1.048,1.062,1.044,1.056,0.011,1.0526,244775.75,25778.161
512880.SH,20160824,1.056,1.058,1.06,1.045,1.049,-0.007,-0.6629,197640.0,20780.326
512880.SH,20160825,1.049,1.045,1.058,1.038,1.054,0.005,0.4766,246333.32,25890.452
512880.SH,20160826,1.054,1.051,1.057,1.046,1.048,-0.006,-0.5693,178017.57,18724.561
512880.SH,20160829,1.048,1.048,1.053,1.042,1.049,0.001,0.0954,122600.53,12835.434
512880.SH,20160830,1.049,1.05,1.062,1.047,1.054,0.005,0.4766,233842.59,24691.966
512880.SH,20160831,1.054,1.051,1.067,1.05,1.061,0.007,0.6641,272965.87,28945.104
512880.SH,20160901,1.061,1.06,1.06,1.044,1.044,-0.017,-1.6023,250670.0,26393.289
512880.SH,20160902,1.044,1.041,1.063,1.039,1.051,0.007,0.6705,233981.95,24635.967
512880.SH,20160905,1.051,1.05,1.067,1.05,1.054,0.003,0.2854,384310.02,40671.241
512880.SH,20160906,1.054,1.053,1.06,1.04,1.057,0.003,0.2846,257490.77,27041.171
512880.SH,20160907,1.057,1.057,1.064,1.053,1.056,-0.001,-0.0946,210277.32,22267.356
512880.SH,20160908,1.056,1.055,1.057,1.05,1.054,-0.002,-0.1894,149731.45,15783.936
512880.SH,20160909,1.054,1.053,1.059,1.048,1.049,-0.005,-0.4744,284091.0,29982.672
512880.SH,20160912,1.049,1.04,1.04,1.011,1.023,-0.026,-2.4786,425783.38,43491.163
512880.SH,20160913,1.023,1.021,1.026,1.015,1.02,-0.003,-0.2933,149432.0,15221.765
512880.SH,20160914,1.02,1.015,1.018,1.009,1.012,-0.008,-0.7843,131022.0,13274.348
512880.SH,20160919,1.012,1.012,1.018,1.012,1.015,0.003,0.2964,107621.0,10918.142
512880.SH,20160920,1.015,1.015,1.016,1.01,1.013,-0.002,-0.197,232599.31,23539.946
512880.SH,20160921,1.013,1.012,1.027,1.012,1.02,0.007,0.691,388031.44,39474.5
512880.SH,20160922,1.02,1.026,1.029,1.02,1.02,0.0,0.0,153860.44,15754.393
512880.SH,20160923,1.02,1.02,1.023,1.015,1.016,-0.004,-0.3922,147650.2,15052.047
512880.SH,20160926,1.016,1.016,1.016,0.996,0.998,-0.018,-1.7717,209831.2,21080.177
