ts_code,trade_date,pre_close,open,high,low,close,change,pct_chg,vol,amount
512800.SH,20170803,1.019,1.015,1.022,0.999,0.999,-0.02,-1.9627,2528154.28,256241.188
512800.SH,20170804,0.999,1.0,1.005,0.997,0.999,0.0,0.0,129093.1,12934.325
512800.SH,20170807,0.999,0.999,1.0,0.989,0.995,-0.004,-0.4004,80293.68,7983.5
512800.SH,20170808,0.995,0.994,0.997,0.991,0.993,-0.002,-0.201,49000.88,4867.036
512800.SH,20170809,0.993,0.997,0.997,0.978,0.98,-0.013,-1.3092,55734.0,5487.65
512800.SH,20170810,0.98,0.98,0.984,0.97,0.976,-0.004,-0.4082,70530.53,6873.011
512800.SH,20170811,0.976,0.97,0.972,0.954,0.963,-0.013,-1.332,62864.34,6033.416
512800.SH,20170814,0.963,0.956,0.968,0.953,0.964,0.001,0.1038,53789.67,5148.105
512800.SH,20170815,0.964,0.964,0.981,0.962,0.973,0.009,0.9336,42921.59,4185.613
512800.SH,20170816,0.973,0.97,0.97,0.963,0.968,-0.005,-0.5139,16429.03,1590.339
512800.SH,20170817,0.968,0.967,0.969,0.964,0.969,0.001,0.1033,25952.0,2508.482
512800.SH,20170818,0.969,0.962,0.974,0.962,0.97,0.001,0.1032,26708.14,2582.072
512800.SH,20170821,0.97,0.97,0.971,0.965,0.97,0.0,0.0,23677.27,2291.589
512800.SH,20170822,0.97,0.968,0.975,0.966,0.975,0.005,0.5155,33074.06,3215.285
512800.SH,20170823,0.975,0.975,0.994,0.975,0.987,0.012,1.2308,92123.03,9085.233
512800.SH,20170824,0.987,0.989,1.0,0.987,0.989,0.002,0.2026,102118.34,10141.897
512800.SH,20170825,0.989,0.994,1.02,0.993,1.018,0.029,2.9323,862925.28,86957.997
512800.SH,20170828,1.018,1.02,1.039,1.019,1.026,0.008,0.7859,777125.6,79698.461
512800.SH,20170829,1.026,1.023,1.028,1.018,1.026,0.0,0.0,181225.0,18535.927
512800.SH,20170830,1.026,1.026,1.036,1.015,1.017,-0.009,-0.8772,168203.0,17228.142
512800.SH,20170831,1.017,1.018,1.019,1.001,1.009,-0.008,-0.7866,264945.0,26695.371
512800.SH,20170901,1.009,1.008,1.013,0.999,1.004,-0.005,-0.4955,160435.0,16133.331
